Year	InvYear	TR	TRA1	R1	R2	R3	R4	R5	R6	R7	R8	R9	OR	HMIN	HMAX	HMEAN	HMODE	HSD	HVAR	HCV	HIQ	HSKW	HKUR	HAAD	HMADIAN	HMADODE	HL1	HL2	HL3	HL4	HLCV	HLSKW	HLKUR	HP01	HP05	HP10	HP20	HP25	HP30	HP40	HP50	HP60	HP70	HP75	HP80	HP90	HP95	HP99	CRR	HSQ	HCUB	PFRA2	PARA2	ARA2FR	FRA2	ARA2	PFRAM	PFRAMO	PARAM	PARAMO	ARAMTFR	ARAMOTFR	FRAM	FRAMO	ARAM	ARAMO	TFR	TAR	TRF	TRA1F	R1A1	HMINF	HMAXF	HMEANF	HMODEF	HSDF	HVARF	HCVF	HIQF	HSKWF	HKURF	HAADF	HMADIANF	HMADODEF	HL1F	HL2F	HL3F	HL4F	HLCVF	HLSKWF	HLKURF	HP01F	HP05F	HP10F	HP20F	HP25F	HP30F	HP40F	HP50F	HP60F	HP70F	HP75F	HP80F	HP90F	HP95F	HP99F	CRRF	HSQF	HCUBF	PFRA2F	PARA2F	ARA2FRF	FRA2F	ARA2F	PFRAMF	PFRAMOF	PARAMF	PARAMOF	ARAMTFRF	ARAMOTFRF	FRAMF	FRAMOF	ARAMF	ARAMOF	TFRF	TARF	Volume	BasalArea	Diameter	Height	Dominant	Site	Trainning
6	0.166666667	6101.1	3678.3	3430.8	245.7	1.8	0	0	0	0	0	0	0	0.9	24.561	19.872	21.933	5.049	28.287	0.225	2.088	-2.07	6.705	3.33	0.981	0.981	19.872	2.178	-1.107	0.738	0.099	-0.459	0.306	1.665	6.084	12.618	19.575	20.394	20.763	21.186	21.6	21.951	22.284	22.482	22.671	23.238	23.553	24.021	0.72	20.511	20.862	67.14	53.613	71.676	3403.8	3634.2	56.268	29.286	42.588	21.96	56.943	29.358	2853	1485	2887.2	1488.6	4563	6101.1	6101.1	3430.8	3430.8	0.9	24.561	20.511	21.933	4.248	20.043	0.189	1.809	-2.565	9.882	2.52	0.891	0.909	20.511	1.728	-0.864	0.675	0.072	-0.45	0.351	2.061	9.369	16.74	20.34	20.727	20.961	21.357	21.699	22.032	22.356	22.545	22.743	23.274	23.58	24.066	0.747	20.943	21.195	67.14	53.613	71.676	3403.8	3634.2	53.01	29.286	40.014	21.96	53.505	29.358	2687.4	1485	2712.6	1488.6	4563	6101.1	255.843	24.813	13.05	20.25	23.31	23.58	0.9
5.9	0.169491525	6273.9	5145.3	4424.4	693.9	26.1	0.9	0	0	0	0	0	0	0.918	26.541	21.015	23.688	5.121	29.142	0.216	3.933	-1.926	6.723	3.654	1.287	1.161	21.015	2.376	-1.08	0.612	0.099	-0.405	0.234	1.197	8.991	14.481	18.36	20.106	21.555	22.41	22.986	23.436	23.85	24.039	24.228	24.714	25.092	25.677	0.702	21.627	21.996	83.052	72.549	95.634	4392	5057.1	67.824	32.931	53.361	25.074	70.344	33.048	3586.5	1741.5	3719.7	1747.8	4759.2	6273.9	6273.9	4424.4	4424.4	0.936	26.541	22.041	23.697	3.969	17.469	0.162	2.187	-2.502	10.89	2.547	1.026	0.972	22.041	1.737	-0.792	0.549	0.072	-0.414	0.288	2.997	14.049	17.271	21.312	21.978	22.32	22.869	23.292	23.67	24.012	24.165	24.345	24.804	25.173	25.704	0.738	22.401	22.626	83.052	72.549	95.634	4392	5057.1	62.055	32.868	48.249	25.02	63.603	32.985	3281.4	1737.9	3363.3	1744.2	4759.2	6273.9	309.636	27.531	13.86	22.77	25.65	25.299	0.9
5.9	0.169491525	5040.9	3266.1	2997.9	260.1	8.1	0	0	0	0	0	0	0	0.9	25.227	20.151	22.14	4.914	26.847	0.216	2.484	-2.187	7.812	3.267	1.071	0.99	20.151	2.151	-1.062	0.693	0.099	-0.45	0.288	1.134	8.343	13.779	19.44	20.286	20.79	21.465	21.897	22.266	22.581	22.77	22.959	23.355	23.742	24.597	0.711	20.736	21.069	74.124	56.943	80.262	2945.7	3189.6	61.758	35.847	44.523	25.497	62.757	35.937	2454.3	1424.7	2493.9	1428.3	3576.6	5040.9	5040.9	2997.9	2997.9	0.9	25.227	20.808	22.14	4.149	19.098	0.18	2.025	-2.754	11.952	2.493	0.927	0.909	20.808	1.701	-0.837	0.639	0.072	-0.441	0.333	1.26	12.609	16.263	20.322	20.817	21.168	21.69	22.059	22.356	22.671	22.842	23.022	23.4	23.796	24.615	0.738	21.222	21.447	74.124	56.943	80.262	2945.7	3189.6	56.619	35.847	40.635	25.497	57.276	35.937	2250	1424.7	2276.1	1428.3	3576.6	5040.9	217.539	22.995	12.33	19.98	23.4	23.913	0.9
5.9	0.169491525	6467.4	3775.5	3291.3	473.4	10.8	0	0	0	0	0	0	0	0.9	25.173	15.093	21.708	7.515	62.757	0.45	12.726	-0.522	1.647	6.75	3.546	3.024	15.093	4.14	-0.909	-0.18	0.243	-0.198	-0.036	1.026	1.674	2.646	6.759	8.883	10.476	13.536	18.891	20.898	21.429	21.609	21.771	22.167	22.653	24.273	0.522	16.857	17.91	63.198	49.545	71.127	3163.5	3560.4	41.868	16.722	29.781	11.673	42.75	16.758	2096.1	837	2140.2	838.8	4505.4	6467.4	6467.4	3291.3	3291.3	0.9	25.173	16.29	21.708	7.02	54.747	0.387	10.782	-0.783	2.088	6.147	1.845	1.638	16.29	3.744	-1.143	0.081	0.207	-0.27	0.018	1.089	2.115	4.086	9.297	10.944	12.528	17.136	20.61	21.195	21.573	21.717	21.87	22.248	22.833	24.309	0.567	17.739	18.594	63.198	49.545	71.127	3163.5	3560.4	40.473	16.722	28.629	11.673	41.103	16.758	2025.9	837	2057.4	838.8	4505.4	6467.4	233.613	23.661	12.06	20.07	23.22	22.95	0.9
5.9	0.169491525	4842.9	2682	2570.4	108.9	2.7	0	0	0	0	0	0	0	0.936	25.425	21.663	23.481	4.257	20.169	0.18	1.989	-2.943	12.438	2.34	0.99	0.927	21.663	1.638	-0.846	0.666	0.072	-0.459	0.369	1.737	11.826	19.8	21.474	21.699	21.906	22.374	22.779	23.166	23.535	23.688	23.85	24.21	24.471	24.849	0.765	22.077	22.302	66.483	49.311	69.255	2547	2653.2	52.551	21.87	37.8	15.588	53.091	21.897	2013.3	837.9	2034	838.8	3447.9	4842.9	4842.9	2570.4	2570.4	0.936	25.425	21.978	23.481	3.753	15.687	0.153	1.917	-3.393	16.434	1.953	0.954	0.891	21.978	1.404	-0.684	0.567	0.054	-0.441	0.36	2.025	15.003	20.619	21.6	21.807	22.005	22.473	22.842	23.247	23.58	23.733	23.886	24.228	24.48	24.858	0.774	22.302	22.473	66.483	49.311	69.255	2547	2653.2	47.34	21.87	33.984	15.588	47.736	21.897	1813.5	837.9	1828.8	838.8	3447.9	4842.9	286.416	25.623	13.68	22.5	24.3	24.597	0.9
8	0.125	2912.4	2349.9	1805.4	482.4	58.5	3.6	0	0	0	0	0	0	0.9	34.713	22.824	29.349	9.396	98.037	0.369	13.464	-0.81	2.403	8.028	4.716	3.555	22.824	5.103	-1.35	0.27	0.198	-0.234	0.045	0.972	2.286	6.723	14.931	16.632	18.54	21.996	27.378	28.557	29.592	30.087	30.654	32.031	32.931	33.66	0.585	24.687	25.803	79.335	69.39	100.422	1773.9	2245.5	57.276	32.481	43.137	23.895	62.424	34.578	1280.7	726.3	1395.9	773.1	2012.4	2912.4	2912.4	1805.4	1805.4	0.909	34.713	25.272	29.349	7.884	69.003	0.279	10.476	-1.215	3.645	6.318	2.862	2.556	25.272	4.068	-1.377	0.585	0.144	-0.306	0.126	1.116	7.938	14.247	18.972	20.115	24.084	27.486	28.449	29.358	30.15	30.591	31.059	32.445	33.093	33.741	0.648	26.469	27.234	79.335	69.39	100.422	1773.9	2245.5	55.584	32.481	41.499	23.895	60.057	34.578	1242.9	726.3	1342.8	773.1	2012.4	2912.4	385.866	30.501	14.76	23.58	28.71	30.762	0.9
8	0.125	2620.8	1795.5	1527.3	253.8	14.4	0	0	0	0	0	0	0	0.9	28.359	21.627	26.613	8.118	73.179	0.342	3.942	-1.467	3.717	6.264	1.368	1.287	21.627	3.753	-1.872	0.783	0.153	-0.45	0.189	0.981	1.89	3.42	16.893	22.509	23.823	24.786	25.344	25.794	26.244	26.46	26.676	27.081	27.333	27.792	0.684	23.103	23.823	75.789	58.752	86.895	1492.2	1710.9	65.961	19.791	46.701	13.41	69.066	19.836	1298.7	389.7	1359.9	390.6	1772.1	2620.8	2620.8	1527.3	1527.3	0.9	28.359	23.364	26.613	6.543	47.574	0.252	2.25	-2.16	6.822	4.23	1.044	1.017	23.364	2.664	-1.53	0.99	0.099	-0.513	0.333	1.026	3.303	14.247	23.832	24.381	24.741	25.272	25.695	26.046	26.442	26.622	26.793	27.126	27.387	27.819	0.738	24.264	24.705	75.789	58.752	86.895	1492.2	1710.9	64.314	19.791	44.937	13.41	66.456	19.836	1266.3	389.7	1308.6	390.6	1772.1	2620.8	333.153	28.224	15.39	23.31	25.02	25.461	0.9
8	0.125	1839.6	1044	983.7	58.5	1.8	0	0	0	0	0	0	0	0.9	26.352	20.718	23.526	7.677	65.448	0.333	1.881	-1.755	4.599	5.454	0.864	0.999	20.718	3.204	-1.818	0.981	0.135	-0.513	0.279	0.936	1.125	1.791	21.753	22.725	23.121	23.526	23.85	24.093	24.426	24.606	24.768	25.146	25.497	25.875	0.702	22.095	22.68	64.044	45.927	65.871	912.6	938.7	59.049	43.893	41.526	30.69	59.562	44.019	841.5	625.5	848.7	627.3	1282.5	1839.6	1839.6	983.7	983.7	0.9	26.352	21.6	23.526	6.723	50.274	0.279	1.629	-2.205	6.714	4.266	0.792	0.936	21.6	2.592	-1.566	1.053	0.108	-0.54	0.36	0.954	1.269	12.906	22.617	23.031	23.319	23.634	23.913	24.165	24.489	24.66	24.795	25.173	25.506	25.884	0.729	22.617	23.058	64.044	45.927	65.871	912.6	938.7	58.293	43.893	40.95	30.69	58.734	44.019	830.7	625.5	837	627.3	1282.5	1839.6	279.288	25.731	13.86	21.24	23.31	23.715	0.9
8	0.125	3227.4	1851.3	1726.2	123.3	1.8	0	0	0	0	0	0	0	0.918	29.376	23.967	26.217	6.111	41.454	0.225	1.791	-2.403	8.235	3.735	0.873	0.855	23.967	2.394	-1.368	1.008	0.09	-0.513	0.378	1.557	5.994	16.506	24.48	24.903	25.164	25.569	25.929	26.226	26.523	26.703	26.901	27.459	27.837	28.566	0.729	24.732	25.11	70.074	50.697	74.664	1706.4	1818	61.758	30.384	43.245	20.781	63.684	30.6	1503.9	739.8	1550.7	745.2	2191.5	3227.4	3227.4	1726.2	1726.2	0.918	29.376	24.561	26.217	5.265	30.771	0.189	1.665	-2.853	11.313	2.916	0.81	0.81	24.561	1.953	-1.098	0.9	0.072	-0.504	0.414	1.692	10.854	22.239	24.822	25.092	25.344	25.677	26.037	26.307	26.595	26.766	26.946	27.504	27.873	28.566	0.747	25.119	25.407	70.074	50.697	74.664	1706.4	1818	58.806	30.384	40.986	20.781	60.354	30.6	1431.9	739.8	1469.7	745.2	2191.5	3227.4	354.537	28.242	14.49	24.84	26.55	25.911	0.9
8	0.125	1914.3	1540.8	1306.8	223.2	10.8	0	0	0	0	0	0	0	0.927	31.383	24.291	27.027	5.139	29.34	0.189	5.733	-1.818	7.551	3.816	2.097	1.746	24.291	2.547	-0.837	0.468	0.09	-0.297	0.162	1.62	15.417	18.234	20.862	21.906	23.013	25.074	26.235	26.802	27.36	27.63	27.891	28.638	29.286	30.51	0.693	24.831	25.191	83.646	71.595	97.803	1302.3	1522.8	60.228	35.262	45.702	26.19	62.424	35.784	937.8	549	972	557.1	1401.3	1914.3	1914.3	1306.8	1306.8	0.927	31.383	25.218	27.027	4.257	20.142	0.153	4.302	-1.935	8.838	3.096	1.548	1.422	25.218	2.088	-0.702	0.441	0.072	-0.306	0.189	7.713	17.559	19.476	22.527	23.508	24.804	26.1	26.658	27.117	27.585	27.81	28.125	28.791	29.376	30.645	0.72	25.578	25.839	83.646	71.595	97.803	1302.3	1522.8	57.114	35.262	42.948	26.19	58.671	35.784	889.2	549	913.5	557.1	1401.3	1914.3	249.93	24.3	13.5	22.23	26.1	27.315	0.9
