parcela,arvore,comum,cientifico,familia,dap2014,medicao
T01,6,cajuacu,Anacardium spruceanum,Anacardiaceae,78.9,20140414
T01,15,parajuba,Manilkara bidentata,Sapotaceae,39.6,20140414
T01,16,guajara branco,Pouteria sp.,Sapotaceae,46.5,20140414
T01,17,seringueira,Hevea brasiliensis,Euphorbiaceae,58.6,20140414
T01,18,guajara branco,Pouteria sp.,Sapotaceae,42.5,20140414
T01,23,jatereu,Lecythis idatimon,Lecythidaceae,35.2,20140414
T01,24,guajara branco,Pouteria sp.,Sapotaceae,59.3,20140414
T01,27,abiurana,Pouteria gongrijpii,Sapotaceae,53.2,20140414
T01,28,guajara branco,Pouteria sp.,Sapotaceae,52.4,20140414
T01,29,morta,NA,NA,40.2,20140414
T01,33,ucurana,Sloanea guianensis,Elaeocarpaceae,40.8,20140414
T01,36,cajuacu,Anacardium spruceanum,Anacardiaceae,38.8,20140414
T01,41,caramuxi,Pouteria hispida,Sapotaceae,46.5,20140414
T01,47,matamata,Eschweilera parviflora,Lecythidaceae,44.8,20140414
T01,48,abiurana,Pouteria gongrijpii,Sapotaceae,39.1,20140414
T01,53,matamata,Eschweilera amazonica,Lecythidaceae,47,20140414
T01,54,matamata,Eschweilera amazonica,Lecythidaceae,36.9,20140414
T01,63,guajara branco,Pouteria sp.,Sapotaceae,71.6,20140414
T01,74,sucupira,Diplotropis sp.,Fabaceae,41.8,20140414
T01,78,inhare,Helicostylis sp.,Moraceae,37.1,20140414
T01,84,caramuxi,Pouteria hispida,Sapotaceae,47,20140414
T01,89,morta,NA,NA,35.6,20140414
T01,92,jatereu,Lecythis idatimon,Lecythidaceae,42,20140414
T01,108,matamata,Eschweilera amazonica,Lecythidaceae,37.5,20140414
T01,109,breu manga,Tetragastris altissima,Burseraceae,54.6,20140414
T01,110,sucupira,Diplotropis sp.,Fabaceae,42.6,20140414
T01,113,seringarana,Micrandra minor,Euphorbiaceae,47.8,20140414
T01,116,pintadinho,Poeppigia procera,Fabaceae,39.9,20140414
T01,117,tanibuca,Terminalia amazonia,Combretaceae,35.4,20140414
T01,119,tachi preto,Tachigali myrmecophila,Fabaceae,83,20140414
T01,120,parajuba,Manilkara bidentata,Sapotaceae,53.7,20140414
T01,123,timborana,Pseudopiptadenia suaveolens,Fabaceae,48.6,20140414
T01,129,jutai,Hymenaea parvifolia,Fabaceae,59.6,20140414
T01,136,parajuba,Manilkara bidentata,Sapotaceae,37.8,20140414
T01,138,morta,NA,NA,36.6,20140414
T01,142,jatereu,Lecythis idatimon,Lecythidaceae,37,20140414
T01,145,guajara branco,Pouteria sp.,Sapotaceae,53.5,20140414
T01,152,tauari,Couratari stellata,Lecythidaceae,41,20140414
T01,153,tatapiririca,Tapirira guianensis,Anacardiaceae,36.9,20140414
T01,154,matamata,Eschweilera amazonica,Lecythidaceae,39,20140414
T01,156,copaiba,Copaifera reticulata,Fabaceae,51.5,20140414
T01,157,timborana,Pseudopiptadenia suaveolens,Fabaceae,51.5,20140414
T01,159,axixa,Sterculia pruriens,Malvaceae,58.3,20140414
T01,160,matamata branco,Eschweilera coriacea,Lecythidaceae,56.2,20140414
T01,161,parajuba,Manilkara bidentata,Sapotaceae,39.6,20140414
T01,162,breu barrote,Tetragastris panamensis,Burseraceae,41.2,20140414
T01,163,timborana,Pseudopiptadenia suaveolens,Fabaceae,40.3,20140414
T01,164,abiurana,Pouteria gongrijpii,Sapotaceae,49.9,20140414
