dose,especie,bloco,altura
100,2,1,27.01092622
100,2,2,24.67664313
100,2,3,20.25998894
100,2,4,23.98434516
100,2,5,21.6873021
100,2,6,27.95062118
100,2,7,21.72692945
100,2,8,23.8181852
100,2,9,27.20598608
100,2,10,22.71425771
75,2,1,23.59123385
75,2,2,22.25758621
75,2,3,22.05516401
75,2,4,20.04109131
75,2,5,19.14948124
75,2,6,22.95754478
75,2,7,26.94884271
75,2,8,22.74460058
75,2,9,23.71341871
75,2,10,24.38226776
50,2,1,26.91504895
50,2,2,19.72285291
50,2,3,20.55554799
50,2,4,24.44992163
50,2,5,21.59081953
50,2,6,24.56422173
50,2,7,21.44374091
50,2,8,20.99752244
50,2,9,21.44592369
50,2,10,24.2981499
25,2,1,24.58642222
25,2,2,22.54323152
25,2,3,25.88378541
25,2,4,23.48751692
25,2,5,24.38288726
25,2,6,24.72293651
25,2,7,26.58771084
25,2,8,22.46469745
25,2,9,25.58907431
25,2,10,20.9482788
0,2,1,29.28761418
0,2,2,24.83845516
0,2,3,21.91966977
0,2,4,25.25511781
0,2,5,23.20428345
0,2,6,22.30721695
0,2,7,28.45245635
0,2,8,25.35863242
0,2,9,23.99814488
0,2,10,28.789955
100,5,1,33.49073737
100,5,2,37.72859528
100,5,3,37.97029075
100,5,4,39.65706008
100,5,5,38.07057583
100,5,6,38.46333899
100,5,7,37.21368219
100,5,8,40.00951951
100,5,9,34.51426932
100,5,10,38.46155972
75,5,1,32.64210513
75,5,2,42.87033061
75,5,3,35.50920769
75,5,4,34.52204585
75,5,5,31.95030388
75,5,6,40.25084504
75,5,7,37.94205887
75,5,8,41.28099291
75,5,9,37.70441267
75,5,10,39.68077011
50,5,1,32.8266698
50,5,2,31.92334261
50,5,3,33.38742976
50,5,4,29.40073952
50,5,5,35.69535687
50,5,6,38.64928969
50,5,7,35.42279378
50,5,8,34.72497613
50,5,9,37.29969462
50,5,10,35.06832403
25,5,1,33.39859947
25,5,2,39.55999551
25,5,3,33.79608274
25,5,4,33.88219706
25,5,5,32.77403449
25,5,6,31.14460823
25,5,7,32.67330146
25,5,8,31.84332332
25,5,9,36.28326258
25,5,10,35.10899245
0,5,1,35.81984503
0,5,2,36.1918423
0,5,3,33.15075929
0,5,4,33.92753569
0,5,5,34.88188652
0,5,6,34.25456577
0,5,7,32.33597382
0,5,8,31.39240243
0,5,9,34.48195097
0,5,10,35.83106467
100,7,1,47.71382686
100,7,2,45.7588695
100,7,3,46.42035553
100,7,4,44.89555864
100,7,5,45.16560804
100,7,6,44.48360783
100,7,7,42.32970118
100,7,8,49.53136598
100,7,9,49.66715059
100,7,10,47.61305736
75,7,1,42.71420093
75,7,2,42.7494069
75,7,3,41.76866675
75,7,4,44.32071972
75,7,5,43.60611691
75,7,6,38.70690319
75,7,7,45.79070267
75,7,8,42.08179084
75,7,9,46.88939607
75,7,10,45.78247083
50,7,1,42.39296285
50,7,2,38.98788589
50,7,3,40.60665914
50,7,4,39.63895129
50,7,5,41.79339746
50,7,6,42.35531764
50,7,7,39.21753223
50,7,8,41.16573685
50,7,9,37.56872462
50,7,10,43.35592324
25,7,1,48.19242731
25,7,2,43.00286216
25,7,3,48.00343771
25,7,4,40.7583216
25,7,5,39.65651266
25,7,6,46.13280987
25,7,7,39.76537475
25,7,8,43.4111559
25,7,9,42.23040897
25,7,10,40.82259274
0,7,1,36.07182095
0,7,2,43.15406497
0,7,3,43.32584942
0,7,4,37.79503478
0,7,5,41.04694493
0,7,6,44.91720122
0,7,7,34.90952311
0,7,8,42.47310737
0,7,9,36.70185191
0,7,10,38.83514847
