desbaste,bloco,rep,diametro
30,1,1,28.37041418
30,1,2,29.28010331
30,1,3,30.84926218
30,1,4,27.89226639
30,2,2,21.4728967
30,2,3,24.39744241
30,2,4,24.65861207
30,3,1,23.79855839
30,3,2,25.6938849
30,3,3,24.45921528
30,3,4,27.94070634
30,4,1,28.0550139
30,4,2,26.42934034
30,4,3,23.09124403
30,4,4,22.54272915
30,5,1,32.73052295
30,5,2,29.17538453
30,5,3,29.94747333
30,5,4,29.35809605
50,1,1,31.2070139
50,1,2,40.85272658
50,1,3,33.66890606
50,1,4,33.15000993
50,2,1,34.03869336
50,2,2,36.24517052
50,2,3,35.49080739
50,2,4,31.58952485
50,3,1,31.9263381
50,3,2,28.82106585
50,3,3,32.18963309
50,3,4,31.5568579
50,4,1,31.11533668
50,4,2,31.05092544
50,4,3,34.69214934
50,4,4,32.95378285
50,5,1,25.26880215
50,5,2,30.48374688
50,5,3,31.73922492
50,5,4,26.21619275
