base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Anambe_PA,jarana,Lecythis lurida,Lecythidaceae,FALSE,FALSE,,18.7,18.8,0.03,3,,,,,,,15,c015,Shade-tolerant,721909.0948,9627178.587
Anambe_PA,envira preta,Guatteria schomburgkiana,Annonaceae,FALSE,FALSE,,17.5,20.9,1.13,3,,,,,,,15,c015,Shade-tolerant,721935.1923,9627174.752
Anambe_PA,louro preto,Ocotea cernua,Lauraceae,FALSE,FALSE,,15.2,15.3,0.03,3,,,,,,,15,c015,Intermediate,721913.1098,9627177.997
Anambe_PA,envira preta,Guatteria schomburgkiana,Annonaceae,FALSE,FALSE,,15.5,17.8,0.77,3,,,,,,,15,c015,Shade-tolerant,721931.2074,9627176.886
Anambe_PA,ucuuba vermelha,Virola elongata,Myristicaceae,FALSE,FALSE,,18.8,19,0.07,3,,,,,,,15,c015,,721915.1173,9627177.702
Anambe_PA,inga branco,Inga thibaudiana,Fabaceae,FALSE,FALSE,,13,16.6,1.2,3,,,,,,,15,c015,,721914.0854,9627179.491
Anambe_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,10.3,10.2,0,3,,,,,,,15,c015,Shade-tolerant,721920.1326,9627177.895
Anambe_PA,melancieira,Alexa grandiflora,Fabaceae,FALSE,FALSE,,28.2,29.2,0.33,3,,,,,,,25,c025,,721928.2553,9627182.472
Anambe_PA,muiratinga,Maquira coriacea,Moraceae,FALSE,FALSE,,13.9,14.2,0.1,3,,,,,,,15,c015,,721920.1326,9627177.895
Anambe_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,13.4,14.2,0.27,3,,,,,,,15,c015,,721928.3584,9627182.555
Anambe_PA,louro preto,Nectandra cuspidata,Lauraceae,FALSE,FALSE,,15.4,15.9,0.17,3,,,,,,,15,c015,Intermediate,721920.1274,9627179.291
Anambe_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,15,16.1,0.37,3,,,,,,,15,c015,Shade-tolerant,721928.7918,9627184.323
Anambe_PA,acariquara,Minquartia guianensis,Olacaceae,FALSE,FALSE,,25.4,25.2,0,3,,,,,,,25,c025,Shade-tolerant,721925.1921,9627181.525
Anambe_PA,muiratinga,Maquira coriacea,Moraceae,FALSE,FALSE,,13,13.2,0.07,3,,,,,,,15,c015,,721937.3299,9627178.588
Anambe_PA,jutai-pororoca,Dialium guianense,Fabaceae,FALSE,FALSE,,35,40.4,1.8,3,,,,,,,35,c035,Intermediate,721923.163,9627182.161
Anambe_PA,acariquara,Minquartia guianensis,Olacaceae,FALSE,FALSE,,18,18,0,3,,,,,,,15,c015,Shade-tolerant,721937.2927,9627177.408
Anambe_PA,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,13.3,13.4,0.03,3,,,,,,,15,c015,,721938.6055,9627177.228
Anambe_PA,lacrao,Vismia floribunda,Hypericaceae,FALSE,FALSE,,49.2,51.6,0.8,3,,,,,,,45,c045,,721922.1484,9627184.444
Anambe_PA,canela-de-jacamim,Rinorea pubiflora,Violaceae,FALSE,TRUE,,11.6,,,3,,,,,,,15,c015,,721938.6997,9627177.017
Anambe_PA,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,16,16,0,3,,,,,,,15,c015,Shade-tolerant,721917.0446,9627185.144
Anambe_PA,louro preto,Ocotea cernua,Lauraceae,FALSE,FALSE,,10.1,10.8,0.23,3,,,,,,,15,c015,Intermediate,721938.8585,9627178.682
Anambe_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,11,11.5,0.17,3,,,,,,,15,c015,,721916.0019,9627187.01
Anambe_PA,jarana,Lecythis lurida,Lecythidaceae,FALSE,FALSE,,13.9,14,0.03,3,,,,,,,15,c015,Shade-tolerant,721937.6552,9627188.913
Anambe_PA,tachi vermelho,Tachigali paniculata,Fabaceae,FALSE,FALSE,,24.3,28.4,1.37,3,,,,,,,25,c025,Intermediate,721918.0504,9627186.872
Anambe_PA,breu barrote,Tetragastris panamensis,Burseraceae,FALSE,FALSE,,28.6,29.1,0.17,3,,,,,,,25,c025,Intermediate,721937.6738,9627189.503
Anambe_PA,abiurana vermelha,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,23.8,24.4,0.2,3,,,,,,,25,c025,,721926.2577,9627186.9
Anambe_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,24.3,24.8,0.17,3,,,,,,,25,c025,,721935.5478,9627187.65
Anambe_PA,acariquara,Minquartia guianensis,Olacaceae,FALSE,FALSE,,18.3,16.6,0,3,,,,,,,15,c015,Shade-tolerant,721923.1797,9627188.176
Anambe_PA,melancieira,Alexa grandiflora,Fabaceae,FALSE,FALSE,,14.8,14.8,0,3,,,,,,,15,c015,,721930.3751,9627187.029
Anambe_PA,abiurana vermelha,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,32.5,33.7,0.4,3,,,,,,,35,c035,,721922.1515,9627189.315
Anambe_PA,goiabao,Pradosia cochlearia,Sapotaceae,FALSE,FALSE,,41.8,42.3,0.17,3,,,,,,,45,c045,,721930.4255,9627189.913
Anambe_PA,tauari,Couratari stellata,Lecythidaceae,FALSE,FALSE,,34,33.9,0,3,,,,,,,35,c035,,721921.1185,9627190.634
Anambe_PA,breu branco,Protium paniculatum,Burseraceae,FALSE,FALSE,,17,17.6,0.2,3,,,,,,,15,c015,,721929.7324,9627191.903
Anambe_PA,inhare,Helicostylis tomentosa,Moraceae,FALSE,FALSE,,44.4,44.8,0.13,3,,,,,,,45,c045,,721922.1523,9627190.626
Anambe_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,41.7,42.7,0.33,3,,,,,,,45,c045,Shade-tolerant,721937.7699,9627192.551
Anambe_PA,caqui,Diospyros guianensis,Ebenaceae,FALSE,FALSE,,13.6,14.2,0.2,3,,,,,,,15,c015,Shade-tolerant,721915.9232,9627193.252
Anambe_PA,inga-de-rosca,Abarema mataybifolia,Fabaceae,FALSE,TRUE,,20.6,,,3,,,,,,,25,c025,,721934.7364,9627196.328
Anambe_PA,acariquara,Minquartia guianensis,Olacaceae,FALSE,FALSE,,16.9,17.6,0.23,3,,,,,,,15,c015,Shade-tolerant,721901.2658,9627197.196
Anambe_PA,goiabao,Pradosia cochlearia,Sapotaceae,FALSE,FALSE,,36.6,37.5,0.3,3,,,,,,,35,c035,,721934.8463,9627196.515
Anambe_PA,tachi vermelho,Tachigali paniculata,Fabaceae,FALSE,FALSE,,26.9,28.3,0.47,3,,,,,,,25,c025,Intermediate,721917.976,9627196.021
Anambe_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,15.4,15.8,0.13,3,,,,,,,15,c015,,721936.0026,9627196.527
Anambe_PA,pau-de-colher,Lacmellea aculeata,Apocynaceae,FALSE,FALSE,,14.9,15.9,0.33,3,,,,,,,15,c015,,721920.0657,9627195.853
Anambe_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,20.7,21.3,0.2,3,,,,,,,25,c025,,721936.3732,9627198.46
Anambe_PA,tauari,Couratari stellata,Lecythidaceae,FALSE,FALSE,,13.2,13.1,0,3,,,,,,,15,c015,,721928.4261,9627195.274
Anambe_PA,goiabao,Pradosia cochlearia,Sapotaceae,FALSE,FALSE,,30.5,31,0.17,3,,,,,,,35,c035,,721922.1573,9627198.588
Anambe_PA,amapa doce,Brosimum parinarioides,Moraceae,FALSE,FALSE,,25,24.9,0,3,,,,,,,25,c025,,721928.4439,9627196.611
Anambe_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,11.7,12.4,0.23,3,,,,,,,15,c015,Shade-tolerant,721923.2072,9627198.043
Anambe_PA,gema-de-ovo,Aspidosperma parvifolium,Apocynaceae,FALSE,FALSE,,14.1,14.5,0.13,3,,,,,,,15,c015,,721929.7075,9627196.899
Anambe_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,20,20.1,0.03,3,,,,,,,25,c025,,721920.0439,9627201.715
Anambe_PA,quinarana,Geissospermum sericeum,Apocynaceae,FALSE,FALSE,,15.5,15.9,0.13,3,,,,,,,15,c015,,721926.4635,9627197.902
Anambe_PA,quinarana,Geissospermum sericeum,Apocynaceae,FALSE,FALSE,,17.1,18.2,0.37,3,,,,,,,15,c015,,721918.9841,9627202.15
