base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Cauaxi_PA,macucu,Licania guianensis,Chrysobalanaceae,FALSE,FALSE,,10.3,10.3,0,2,7.83,4.59,,,S,2,15,c015,,778459.6729,9586871.539
Cauaxi_PA,casca seca,Licania canescens,Chrysobalanaceae,FALSE,FALSE,,14.6,14.9,0.15,2,10.27,9.16,,,S,2,15,c015,,778444.1712,9586870.399
Cauaxi_PA,cajuacu,Anacardium spruceanum,Anacardiaceae,FALSE,FALSE,,78.8,78.9,0.05,2,31.65,21.06,,,E,1,75,c075,,778443.5294,9586872.461
Cauaxi_PA,breu branco,Protium paniculatum,Burseraceae,FALSE,FALSE,,14.7,14.7,0,2,11.54,7.35,,,S,2,15,c015,,778443.2246,9586869.534
Cauaxi_PA,breu branco,Protium paniculatum,Burseraceae,FALSE,FALSE,,10.6,10.6,0,2,6.91,4.9,,,E,3,15,c015,,778436.1941,9586869.46
Cauaxi_PA,caramuxi,Pouteria hispida,Sapotaceae,FALSE,FALSE,,27.1,27.7,0.3,2,19.83,13.53,,,C,2,25,c025,,778433.713,9586868.991
Cauaxi_PA,casca seca,Licania canescens,Chrysobalanaceae,FALSE,FALSE,,15.1,15.3,0.1,2,12.09,7.44,,,E,2,15,c015,,778427.1563,9586869.342
Cauaxi_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,16.5,16.5,0,2,11.46,7.61,,,S,2,15,c015,Shade-tolerant,778423.2009,9586868.382
Cauaxi_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,12,12,0,2,12.26,8.41,,,S,1,15,c015,Shade-tolerant,778417.1911,9586868.076
Cauaxi_PA,parajuba,Manilkara bidentata,Sapotaceae,FALSE,FALSE,,38.4,39.6,0.6,2,32.29,31.19,,,C,2,35,c035,,778412.709,9586867.472
Cauaxi_PA,guajara branco,Pouteria sp,Sapotaceae,FALSE,FALSE,,48.5,46.5,0,2,31.1,20.84,,,C,2,45,c045,Shade-tolerant,778413.8796,9586872.463
Cauaxi_PA,seringueira,Hevea brasiliensis,Euphorbiaceae,FALSE,FALSE,,50.3,58.6,4.15,2,33.43,24.5,,,E,1,55,c055,,778412.6282,9586868.67
