parcela,comum,cientifico,familia,dap,hc,ht,vertical,luminosidade
T01,macucu,Licania guianensis,Chrysobalanaceae,10.3,4.59,7.83,S,2
T01,casca seca,Licania canescens,Chrysobalanaceae,14.6,9.16,10.27,S,2
T01,cajuacu,Anacardium spruceanum,Anacardiaceae,78.8,21.06,31.65,E,1
T01,breu branco,Protium paniculatum,Burseraceae,14.7,7.35,11.54,S,2
T01,breu branco,Protium paniculatum,Burseraceae,10.6,4.9,6.91,E,3
T01,caramuxi,Pouteria hispida,Sapotaceae,27.1,13.53,19.83,C,2
T01,casca seca,Licania canescens,Chrysobalanaceae,15.1,7.44,12.09,E,2
T01,jatereu,Lecythis idatimon,Lecythidaceae,16.5,7.61,11.46,S,2
T01,jatereu,Lecythis idatimon,Lecythidaceae,12,8.41,12.26,S,1
T01,parajuba,Manilkara bidentata,Sapotaceae,38.4,31.19,32.29,C,2
T01,guajara branco,Pouteria sp.,Sapotaceae,48.5,20.84,31.1,C,2
T01,seringueira,Hevea brasiliensis,Euphorbiaceae,50.3,24.5,33.43,E,1
T01,guajara branco,Pouteria sp.,Sapotaceae,41.9,18.7,28.84,C,2
T01,capueiro,Rinorea guianensis,Violaceae,11.4,7.49,10.57,S,2
T01,casca seca,Licania canescens,Chrysobalanaceae,15,9.49,14.79,S,2
T01,matamata,Eschweilera amazonica,Lecythidaceae,15.5,7.07,10.2,S,1
T01,jatereu,Lecythis idatimon,Lecythidaceae,35.2,20.19,37.54,C,1
T01,guajara branco,Pouteria sp.,Sapotaceae,59.3,10.17,24.67,C,1
T01,macucu,Licania guianensis,Chrysobalanaceae,11,6.72,11.57,S,2
T01,abiurana,Pouteria gongrijpii,Sapotaceae,52,18.97,36.95,C,2
T01,guajara branco,Pouteria sp.,Sapotaceae,52.2,24.58,33.93,C,1
T01,morta,NA,NA,40.2,NA,6.3,NA,NA
T01,ucurana,Sloanea guianensis,Elaeocarpaceae,40.6,17.53,26.17,C,2
T01,cajuacu,Anacardium spruceanum,Anacardiaceae,36.1,16.38,29.42,C,1
T01,macaranduba,Manilkara huberi,Sapotaceae,10.3,13.37,15.97,S,3
T01,matamata,Eschweilera amazonica,Lecythidaceae,27,17.45,22.52,S,2
T01,caramuxi,Pouteria hispida,Sapotaceae,46,20.35,31.98,C,2
T01,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,17.24,22.02,S,1
T01,morta,NA,NA,19.1,NA,18.4,NA,NA
T01,sucupira,Diplotropis sp.,Fabaceae,17,2.52,7.85,S,1
T01,jatereu,Lecythis idatimon,Lecythidaceae,10,6.97,9.03,S,1
T01,matamata,Eschweilera parviflora,Lecythidaceae,43.5,22.08,34.35,C,1
T01,abiurana,Pouteria gongrijpii,Sapotaceae,38.5,22.27,29.33,C,2
T01,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,11.67,17.81,S,3
T01,matamata,Eschweilera amazonica,Lecythidaceae,46,29.3,34.83,E,1
T01,matamata,Eschweilera amazonica,Lecythidaceae,36.5,19.43,28.6,S,1
T01,matamata,Eschweilera amazonica,Lecythidaceae,22,11.02,19.12,S,2
T01,jatereu,Lecythis idatimon,Lecythidaceae,13,9.44,15.63,S,3
T01,guajara branco,Pouteria sp.,Sapotaceae,70,30.63,50.97,E,1
T01,capueiro,Rinorea guianensis,Violaceae,10.6,9.04,15.24,S,1
T01,cajuacu,Anacardium spruceanum,Anacardiaceae,18.6,11.61,18.21,S,2
T01,abiurana,Pouteria gongrijpii,Sapotaceae,24.2,14.18,19.46,S,3
T01,inga,Inga marginata,Fabaceae,17,16.27,21.32,S,2
T01,matamata,Eschweilera parviflora,Lecythidaceae,33.1,13.08,27.87,S,2
T01,sucupira,Diplotropis sp.,Fabaceae,40.9,21.18,30.19,E,2
T01,morta,NA,NA,20.2,NA,10.7,NA,NA
T01,inhare,Helicostylis sp.,Moraceae,36.4,18.62,25.25,S,2
T01,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,44,2.58,4.05,S,2
T01,breu vermelho,Protium hebetatum,Burseraceae,26.8,21.84,28.77,C,2
T01,caramuxi,Pouteria hispida,Sapotaceae,46.6,16.36,25.24,C,2
T01,morta,NA,NA,35.6,NA,5.61,NA,NA
T01,acariquara,Minquartia guianensis,Olacaceae,10,8.04,10.34,S,3
T01,jatereu,Lecythis idatimon,Lecythidaceae,42,19.95,32.47,E,1
T01,casca seca,Licania canescens,Chrysobalanaceae,33.1,13.7,26.45,C,1
T01,matamata,Eschweilera parviflora,Lecythidaceae,12,7.24,8.99,S,1
T01,jatereu,Lecythis idatimon,Lecythidaceae,11.7,15.67,19.39,S,1
T01,abiu cutite,NA,NA,17.9,16.95,21.82,C,2
T01,macucu,Licania guianensis,Chrysobalanaceae,26.4,19.79,32.05,S,2
T01,caqui,Diospyros guianensis,Ebenaceae,11.6,9.2,20.21,S,1
T01,pintadinho,Poeppigia procera,Fabaceae,20.6,15.04,21.1,S,2
T01,matamata,Eschweilera amazonica,Lecythidaceae,36.5,12.37,17.99,S,2
T01,breu manga,Tetragastris altissima,Burseraceae,53,21.02,27.67,E,1
T01,sucupira,Diplotropis sp.,Fabaceae,41.2,25.88,35.53,E,1
T01,seringarana,Micrandra minor,Euphorbiaceae,46.9,26.22,35.57,C,1
T01,matamata,Eschweilera amazonica,Lecythidaceae,28.1,15.94,27.44,S,2
T01,pintadinho,Poeppigia procera,Fabaceae,39.1,18.02,25.88,S,2
T01,tanibuca,Terminalia amazonia,Combretaceae,35.4,12.66,18.18,S,2
T01,macucu,Licania guianensis,Chrysobalanaceae,10.9,10.47,15.11,S,2
T01,tachi preto,Tachigali myrmecophila,Fabaceae,60,36.15,52.5,E,1
T01,parajuba,Manilkara bidentata,Sapotaceae,52.8,16,24.43,C,2
