parcela,placa,codigo,comum,cap,dap,hc,g,v,cientifico,familia,dd
1,1,155,Castanheira,450,143.24,20,1.6114,22.5602,"Bertholletia excelsa Kunth,",Lecythidaceae,145
1,2,546,Ucuúba,35,11.14,10,0.0097,0.0682,"Virola surinamensis (Rol,) Warb,",Myristicaceae,15
1,3,137,Caripé,73,23.24,9,0.0424,0.2672,"Couepia paraensis (Mart, & Zucc,) Benth, subsp, glaucescens (Spruce ex Hook,f,) Prance",Chrysobalanaceae,25
1,4,415,Pama,42,13.37,12,0.014,0.1179,"Pseudolmedia laevis (Ruiz & Pav,) J, F, Macbr,",Moraceae,15
1,5,516,Sumauma preta,110,35.01,15,0.0963,1.011,"Ceiba samauma (Mart,) K, Schum,",Malvaceae,35
1,6,291,Itaúba,93,29.6,16,0.0688,0.7709,"Mezilaurus itauba (Meisn,) Taub, ex Mez",Lauraceae,25
1,7,137,Caripé,56,17.83,9,0.025,0.1572,"Couepia paraensis (Mart, & Zucc,) Benth, subsp, glaucescens (Spruce ex Hook,f,) Prance",Chrysobalanaceae,15
1,8,308,Jitó,55,17.51,10,0.0241,0.1685,Guarea macrophylla Vahl,Meliaceae,15
1,9,105,Cacau,44,14.01,7,0.0154,0.0755,"Theobroma cacao L,",Malvaceae,15
1,10,546,Ucuúba,57,18.14,7,0.0259,0.1267,"Virola surinamensis (Rol,) Warb,",Myristicaceae,15
1,11,155,Castanheira,345,109.82,18,0.9472,11.9344,"Bertholletia excelsa Kunth,",Lecythidaceae,105
1,12,160,Caucho,120,38.2,13,0.1146,1.0428,"Castilla ulei Warb,",Moraceae,35
1,13,154,Castanharana vermelha,120,38.2,10,0.1146,0.8021,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,35
1,14,307,Jequitibá,254,80.85,15,0.5134,5.3907,Cariniana micrantha Ducke,Lecythidaceae,85
1,15,264,Guariúba,98,31.19,14,0.0764,0.749,"Clarisia racemosa Ruiz & Pav,",Moraceae,35
1,16,222,Envireira,92,29.28,6,0.0674,0.2829,"Malmea dielsiana Saff, ex R, E, Fr,",Annonaceae,25
1,17,168,Cedro rosa,198,63.03,12,0.312,2.6206,"Cedrela odorata L,",Meliaceae,65
1,18,716,Manitê,50,15.92,8,0.0199,0.1114,"Brosimum alicastrum Sw, subsp, bolivarense (Pittier) C, C, Berg",Moraceae,15
1,19,154,Castanharana vermelha,176,56.02,19,0.2465,3.2784,"Eschweilera odora (Poepp, Ex Berg,) Miers",Lecythidaceae,55
1,20,308,Jitó,38,12.1,8,0.0115,0.0643,Guarea macrophylla Vahl,Meliaceae,15
1,21,69,Bacuri,46,14.64,10,0.0168,0.1179,"Garcinia acuminata Planch, & Triana",Clusiaceae,15
1,22,54,Aquariquara,57,18.14,11,0.0259,0.1991,"Minquartia guianensis Aubl,",Olacaceae,15
1,23,348,Maçaranduba,72,22.92,16,0.0413,0.462,"Manilkara bidentata (A, DC,) subsp, surinamensis (Miq,) T, D, Penn",Sapotaceae,25
1,24,291,Itaúba,52,16.55,9,0.0215,0.1356,"Mezilaurus itauba (Meisn,) Taub, ex Mez",Lauraceae,15
1,25,255,Garapeira,200,63.66,17,0.3183,3.7879,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,65
1,26,536,Tauari,118,37.56,19,0.1108,1.4737,"Couratari macrosperma A, C, Sm,",Lecythidaceae,35
1,27,160,Caucho,251,79.9,12,0.5013,4.2113,"Castilla ulei Warb,",Moraceae,75
2,1,222,Envireira,40,12.73,12,0.0127,0.107,"Malmea dielsiana Saff, ex R, E, Fr,",Annonaceae,15
