base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
ALL,jarana,Lecythis lurida,Lecythidaceae,FALSE,FALSE,,18.7,18.8,0.03,3,,,,,,,ALL,ALL,ALL,721909.0948,9627178.587
ALL,envira preta,Guatteria schomburgkiana,Annonaceae,FALSE,FALSE,,17.5,20.9,1.13,3,,,,,,,ALL,ALL,ALL,721935.1923,9627174.752
ALL,louro preto,Ocotea cernua,Lauraceae,FALSE,FALSE,,15.2,15.3,0.03,3,,,,,,,ALL,ALL,ALL,721913.1098,9627177.997
ALL,envira preta,Guatteria schomburgkiana,Annonaceae,FALSE,FALSE,,15.5,17.8,0.77,3,,,,,,,ALL,ALL,ALL,721931.2074,9627176.886
ALL,ucuuba vermelha,Virola elongata,Myristicaceae,FALSE,FALSE,,18.8,19,0.07,3,,,,,,,ALL,ALL,ALL,721915.1173,9627177.702
ALL,inga branco,Inga thibaudiana,Fabaceae,FALSE,FALSE,,13,16.6,1.2,3,,,,,,,ALL,ALL,ALL,721914.0854,9627179.491
ALL,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,10.3,10.2,0,3,,,,,,,ALL,ALL,ALL,721920.1326,9627177.895
ALL,melancieira,Alexa grandiflora,Fabaceae,FALSE,FALSE,,28.2,29.2,0.33,3,,,,,,,ALL,ALL,ALL,721928.2553,9627182.472
ALL,muiratinga,Maquira coriacea,Moraceae,FALSE,FALSE,,13.9,14.2,0.1,3,,,,,,,ALL,ALL,ALL,721920.1326,9627177.895
ALL,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,13.4,14.2,0.27,3,,,,,,,ALL,ALL,ALL,721928.3584,9627182.555
ALL,louro preto,Nectandra cuspidata,Lauraceae,FALSE,FALSE,,15.4,15.9,0.17,3,,,,,,,ALL,ALL,ALL,721920.1274,9627179.291
ALL,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,15,16.1,0.37,3,,,,,,,ALL,ALL,ALL,721928.7918,9627184.323
ALL,acariquara,Minquartia guianensis,Olacaceae,FALSE,FALSE,,25.4,25.2,0,3,,,,,,,ALL,ALL,ALL,721925.1921,9627181.525
ALL,muiratinga,Maquira coriacea,Moraceae,FALSE,FALSE,,13,13.2,0.07,3,,,,,,,ALL,ALL,ALL,721937.3299,9627178.588
ALL,jutai-pororoca,Dialium guianense,Fabaceae,FALSE,FALSE,,35,40.4,1.8,3,,,,,,,ALL,ALL,ALL,721923.163,9627182.161
ALL,acariquara,Minquartia guianensis,Olacaceae,FALSE,FALSE,,18,18,0,3,,,,,,,ALL,ALL,ALL,721937.2927,9627177.408
ALL,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,13.3,13.4,0.03,3,,,,,,,ALL,ALL,ALL,721938.6055,9627177.228
ALL,lacrao,Vismia floribunda,Hypericaceae,FALSE,FALSE,,49.2,51.6,0.8,3,,,,,,,ALL,ALL,ALL,721922.1484,9627184.444
ALL,canela-de-jacamim,Rinorea pubiflora,Violaceae,FALSE,TRUE,,11.6,,,3,,,,,,,ALL,ALL,ALL,721938.6997,9627177.017
ALL,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,16,16,0,3,,,,,,,ALL,ALL,ALL,721917.0446,9627185.144
ALL,louro preto,Ocotea cernua,Lauraceae,FALSE,FALSE,,10.1,10.8,0.23,3,,,,,,,ALL,ALL,ALL,721938.8585,9627178.682
ALL,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,11,11.5,0.17,3,,,,,,,ALL,ALL,ALL,721916.0019,9627187.01
ALL,jarana,Lecythis lurida,Lecythidaceae,FALSE,FALSE,,13.9,14,0.03,3,,,,,,,ALL,ALL,ALL,721937.6552,9627188.913
ALL,tachi vermelho,Tachigali paniculata,Fabaceae,FALSE,FALSE,,24.3,28.4,1.37,3,,,,,,,ALL,ALL,ALL,721918.0504,9627186.872
