base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Tapajos_A01_2015_2016,canela de veado,Amaioua guianensis,Rubiaceae,FALSE,FALSE,,18.6,18.8,0.2,1,16.91,13.03,,,,,15,c015,,726091.4554,9683369.433
Tapajos_A01_2015_2016,tauari,Couratari stellata,Lecythidaceae,FALSE,FALSE,,80,80,0,1,50.4,28.7,,,,,85,c085,,726114.3535,9683379.105
Tapajos_A01_2015_2016,breu barrote,Tetragastris panamensis,Burseraceae,FALSE,FALSE,,34.1,34.5,0.4,1,19.34,13.81,,,,,35,c035,Intermediate,726095.9133,9683371.784
Tapajos_A01_2015_2016,castanha sapucaia,Lecythis pisonis,Lecythidaceae,FALSE,FALSE,,78,78,0,1,44.83,32.73,,,,,75,c075,Emergent,726118.3582,9683375.577
Tapajos_A01_2015_2016,tachi vermelho,Tachigali paniculata,Fabaceae,FALSE,FALSE,,10,10.1,0.1,1,2.79,1.78,,,,,15,c015,Intermediate,726096.92,9683371.84
Tapajos_A01_2015_2016,muiracatiara,Astronium graveolens,Anacardiaceae,FALSE,FALSE,,22.2,23.2,1,1,14.86,10.95,,,,,25,c025,,726119.9085,9683373.584
Tapajos_A01_2015_2016,breu barrote,Tetragastris panamensis,Burseraceae,FALSE,FALSE,,37.1,37.6,0.5,1,20.75,13.92,,,,,35,c035,Intermediate,726101.8226,9683372.589
Tapajos_A01_2015_2016,tachi preto,Tachigali myrmecophila,Fabaceae,FALSE,FALSE,,36.6,36.6,0,1,24.01,15.74,,,,,35,c035,,726122.0237,9683373.284
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,13.1,14.5,1.4,1,8.08,5.92,,,,,15,c015,,726101.9531,9683372.114
Tapajos_A01_2015_2016,coracao de negro,Swartzia corrugata,Fabaceae,FALSE,FALSE,,40,40.1,0.1,1,14.6,7.67,,,,,45,c045,,726122.1752,9683376.548
Tapajos_A01_2015_2016,muirapixuna ,Chamaecrista scleroxylon,Fabaceae,FALSE,FALSE,,34,34.4,0.4,1,,,,,,,35,c035,,726099.8504,9683376.048
Tapajos_A01_2015_2016,amarelao,Aspidosperma parvifolium,Apocynaceae,FALSE,FALSE,,100,100.2,0.2,1,48.13,28.13,,,,,105,c105,,726126.5867,9683375.265
Tapajos_A01_2015_2016,murta,Strychnos subcordata,Loganiaceae,FALSE,FALSE,,13.8,14,0.2,1,,,,,,,15,c015,,726091.427,9683376.878
Tapajos_A01_2015_2016,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,44.4,46.6,2.2,1,25.72,17.59,,,,,45,c045,,726135.1731,9683377.426
Tapajos_A01_2015_2016,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,21.5,23.5,2,1,20.77,13.73,,,,,25,c025,,726106.3862,9683374.576
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,11,11.3,0.3,1,,,,,,,15,c015,,726100.482,9683381.211
Tapajos_A01_2015_2016,quaruba,Vochysia guianensis,Vochysiaceae,FALSE,FALSE,,18.7,19.1,0.4,1,23.92,17.62,,,,,15,c015,,726137.1781,9683384.61
Tapajos_A01_2015_2016,envira surucucu,Duguetia surinamensis,Annonaceae,FALSE,FALSE,,29,29.3,0.3,1,,,,,,,25,c025,,726101.2548,9683382.133
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,11.4,12.2,0.8,1,11.2,6.11,,,,,15,c015,,726133.6811,9683387.092
Tapajos_A01_2015_2016,envira cuminan,Guatteria poeppigiana,Annonaceae,FALSE,FALSE,,40.7,41.2,0.5,1,38.34,30.07,,,,,45,c045,Shade-tolerant,726100.2212,9683382.163
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,12.1,11.2,0,1,12.74,4.86,,,,,15,c015,,726133.2949,9683388.581
Tapajos_A01_2015_2016,envira cuminan,Guatteria poeppigiana,Annonaceae,FALSE,FALSE,,45.7,46,0.3,1,40.7,30.84,,,,,45,c045,Shade-tolerant,726102.1234,9683386.466
Tapajos_A01_2015_2016,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,11.1,11.2,0.1,1,,,,,,,15,c015,Shade-tolerant,726125.7323,9683382.376
Tapajos_A01_2015_2016,muirapixuna,Chamaecrista scleroxylon,Fabaceae,FALSE,FALSE,,15.9,16.1,0.2,1,,,,,,,15,c015,,726094.6607,9683383.722
Tapajos_A01_2015_2016,coracao de negro,Swartzia corrugata,Fabaceae,FALSE,FALSE,,40.4,41.1,0.7,1,18.11,10.71,,,,,45,c045,,726123.0472,9683384.817
Tapajos_A01_2015_2016,muirapixuna,Chamaecrista scleroxylon,Fabaceae,FALSE,FALSE,,18.6,18.7,0.1,1,,,,,,,15,c015,,726089.8699,9683386.168
Tapajos_A01_2015_2016,abiu,Pouteria sp,Sapotaceae,FALSE,FALSE,,27.2,27.1,0,1,,,,,,,25,c025,Shade-tolerant,726124.621,9683390.487
Tapajos_A01_2015_2016,canela de veado,Amaioua guianensis,Rubiaceae,FALSE,FALSE,,24.1,24.5,0.4,1,,,,,,,25,c025,,726095.3448,9683388.699
Tapajos_A01_2015_2016,inajarana,Quararibea guianensis,Malvaceae,FALSE,FALSE,,14.5,15.4,0.9,1,,,,,,,15,c015,,726129.0634,9683393.061
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,12.1,12.4,0.3,1,,,,,,,15,c015,,726096.0399,9683389.914
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,13,13.2,0.2,1,,,,,,,15,c015,,726132.4484,9683395.788
Tapajos_A01_2015_2016,sumauma ,Ceiba pentandra,Malvaceae,FALSE,FALSE,,11.8,11.8,0,1,,,,,,,15,c015,,726096.8135,9683390.845
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,11,11.1,0.1,1,,,,,,,15,c015,,726129.0377,9683393.16
Tapajos_A01_2015_2016,tachi vermelho,Tachigali paniculata,Fabaceae,FALSE,FALSE,,15.5,15.6,0.1,1,,,,,,,15,c015,Intermediate,726093.4746,9683391.75
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,FALSE,,80,80,0,1,52.91,47.73,,,,,85,c085,,726125.4238,9683399.151
Tapajos_A01_2015_2016,breu barrote,Tetragastris panamensis,Burseraceae,FALSE,FALSE,,16.5,16.7,0.2,1,,,,,,,15,c015,Intermediate,726091.8649,9683393.846
Tapajos_A01_2015_2016,pau de colher,Lacmellea aculeata,Apocynaceae,FALSE,FALSE,,12.5,13.4,0.9,1,,,,,,,15,c015,,726125.3465,9683399.447
Tapajos_A01_2015_2016,inga xixica,Inga heterophylla,Fabaceae,FALSE,FALSE,,45.3,45.7,0.4,1,29.29,15.41,,,,,45,c045,,726093.5172,9683395.338
Tapajos_A01_2015_2016,jutai pororoca,Dialium guianense,Fabaceae,FALSE,FALSE,,12.6,13,0.4,1,,,,,,,15,c015,Intermediate,726097.5529,9683395.669
Tapajos_A01_2015_2016,breu branco,Protium paniculatum,Burseraceae,FALSE,FALSE,,13.3,13.7,0.4,1,,,,,,,15,c015,,726120.0231,9683392.389
Tapajos_A01_2015_2016,tachi preto,Tachigali myrmecophila,Fabaceae,FALSE,FALSE,,11.1,11.5,0.4,1,,,,,,,15,c015,,726096.0746,9683397.301
Tapajos_A01_2015_2016,coracao de negro,Swartzia corrugata,Fabaceae,FALSE,FALSE,,64.4,64.8,0.4,1,28.18,6.38,,,,,65,c065,,726119.7644,9683393.367
Tapajos_A01_2015_2016,muirapixuna,Chamaecrista scleroxylon,Fabaceae,FALSE,FALSE,,12.3,12.4,0.1,1,,,,,,,15,c015,,726086.2439,9683395.494
Tapajos_A01_2015_2016,amapa,Parahancornia fasciculata,Apocynaceae,FALSE,FALSE,,12.1,12.1,0,1,,,,,,,15,c015,,726115.9926,9683392.122
Tapajos_A01_2015_2016,ucuuba,Virola michelii,Myristicaceae,FALSE,FALSE,,28.2,28.4,0.2,1,,,,,,,25,c025,,726087.5824,9683398.119
Tapajos_A01_2015_2016,abiu,Pouteria sp,Sapotaceae,FALSE,TRUE,,11.6,,,1,,,,,,,15,c015,Shade-tolerant,726113.1769,9683391.141
