Atividade,Talhao,AreaTrab,DataInicio,DataFim,HM,Diarias, D/AT , HM/AT ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,001-06,55.58,22-11-06,05-12-06,42,128, 2.30 , 0.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,003-06,35.70,05-12-06,11-12-06,47,84, 2.35 , 1.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,002-06,34.51,13-12-06,19-12-06,30,82, 2.38 , 0.87 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,004-06,22.94,19-12-06,22-12-06,24,57, 2.48 , 1.05 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,005-06,27.96,22-12-06,02-01-07,19,65, 2.32 , 0.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,006-06,52.73,03-01-07,17-01-07,48,121, 2.29 , 0.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,007-06,38.34,18-01-07,01-02-07,35,87, 2.27 , 0.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,010-06,45.50,27-01-07,07-02-07,21,89, 1.96 , 0.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,011-06,54.91,03-02-07,13-02-07,48,129, 2.35 , 0.87 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,008-06,24.00,02-02-07,14-02-07,32,57, 2.38 , 1.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,009-06,37.80,31-01-07,16-02-07,14,66, 1.75 , 0.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,012-06,41.40,13-02-07,02-03-07,25,71, 1.71 , 0.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,013-06,62.88,02-03-07,15-03-07,40,111, 1.77 , 0.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,012-06,8.71,02-10-07,03-10-07,16,31, 3.56 , 1.84 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantio,009-06,12.27,05-10-07,08-10-07,9,34, 2.77 , 0.73 ,,,,,,,,,,,,,,,,,,,,,,,,,,
