Atividade,Talhao,AreaTrab,DataInicio,DataFim,HM,Diarias, D/AT , HM/AT ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,001-06,45.00,12-12-06,13-12-06,16,43, 0.96 , 0.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,002-06,20.50,31-01-07,01-02-07,8,18, 0.88 , 0.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,011-06,54.57,17-04-07,23-04-07,6,28, 0.51 , 0.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,012-06,2.10,19-07-07,20-07-07,1,15, 7.14 , 0.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,012-06,39.23,04-10-07,04-10-07,4,12, 0.31 , 0.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,009-06,38.51,08-10-07,08-10-07,7,26, 0.68 , 0.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,008-06,24.35,09-10-07,10-10-07,8,23, 0.94 , 0.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,010-06,45.29,07-11-07,21-11-07,6,31, 0.68 , 0.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,018-07,3.95,10-01-08,10-01-08,1,3, 0.76 , 0.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,032-07,33.41,10-01-08,11-01-08,10,20, 0.60 , 0.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,028-07,19.60,15-01-08,15-01-08,6,16, 0.82 , 0.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,029-07,45.78,15-01-08,22-01-08,10,36, 0.79 , 0.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,027-07,43.44,25-01-08,26-01-08,16,34, 0.78 , 0.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,016-07,25.36,02-02-08,07-02-08,10,21, 0.83 , 0.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,017-07,49.22,06-03-08,10-03-08,12,54, 1.10 , 0.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,024-07,41.85,26-03-08,27-03-08,16,40, 0.96 , 0.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,007-07,48.00,28-03-08,31-03-08,12,50, 1.04 , 0.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,032-07,33.41,21-10-08,22-10-08,16,33, 0.99 , 0.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,030-07,22.77,30-10-08,31-10-08,11,36, 1.58 , 0.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,029-07,45.78,31-10-08,04-11-08,16,52, 1.14 , 0.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,010-08   ,47.50,12-12-08,20-12-08,15,53, 1.12 , 0.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,017-07,49.22,22-12-08,23-12-08,17,33, 0.67 , 0.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,003-07,53.12,11-02-09,11-02-09,16,35, 0.66 , 0.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,005-07,63.26,13-02-09,13-02-09,16,31, 0.49 , 0.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,006-08   ,35.41,14-02-09,14-02-09,8,19, 0.54 , 0.23 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,002-08   ,39.52,16-02-09,16-02-09,10,21, 0.53 , 0.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,028-07,19.60,18-02-09,18-02-09,4,10, 0.51 , 0.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,002-07,29.80,19-02-09,19-02-09,11,16, 0.54 , 0.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,030-08   ,24.46,11-03-09,11-03-09,5,12, 0.49 , 0.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,020-08   ,57.17,13-03-09,13-03-09,7,20, 0.35 , 0.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,023-08   ,10.00,13-03-09,13-03-09,4,4, 0.40 , 0.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,021-08   ,23.00,14-03-09,14-03-09,7,8, 0.35 , 0.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,024-08   ,16.20,14-03-09,14-03-09,4,6, 0.37 , 0.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,025-08   ,23.40,14-03-09,14-03-09,5,8, 0.34 , 0.21 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,029-08   ,23.00,14-03-09,14-03-09,5,8, 0.35 , 0.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,015-08   ,52.67,16-03-09,16-03-09,7,23, 0.44 , 0.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,004-07,53.85,16-03-09,17-03-09,16,26, 0.48 , 0.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,006-07,6.00,17-03-09,17-03-09,1,3, 0.50 , 0.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,031-08   ,22.53,17-03-09,17-03-09,5,9, 0.40 , 0.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,026-08   ,31.00,20-03-09,20-03-09,5,12, 0.39 , 0.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,027-08   ,24.00,20-03-09,20-03-09,4,9, 0.38 , 0.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,007-08 ,13.00,21-03-09,21-03-09,2,3, 0.23 , 0.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,001-08   ,18.00,24-03-09,24-03-09,2,7, 0.39 , 0.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,010-08   ,27.50,25-03-09,25-03-09,3,9, 0.33 , 0.11 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Repltio,014-08   ,18.00,25-03-09,25-03-09,7,11, 0.61 , 0.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
