ESTADO,CODPROJETO,ANO,CLONESEMENTE,CODTALHAO,ANOREF,ANOREF,CHATALHAO,NUMPARCELA,CHAVE,AREA,AREA,I1,I2,NUMARVORE,NUMARVORE,DAP1,DAP2,ALT1,ALT2,ALTEST1,ALTEST2,VCCI,VCCI2,S,CLONESEMENTE,indice
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,1,1,2.9,7.8,3,6.5,3,6.5,0.002,0.016,19.99,SEED,1
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,1,1,7.8,9.4,6.5,8,6.5,8,0.016,0.027,19.99,SEED,1
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,1,1,9.4,13.2,8,10.4,8,10.4,0.027,0.064,19.99,SEED,1
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,1,1,18.7,19.8,16.2,17,16.2,17,0.191,0.222,19.99,SEED,2
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,1,1,19.8,21,17,17.2,17,17.2,0.222,0.25,19.99,SEED,2
MT,MTV,2005,SEED,001A,2015,2016,599,4494,599-4494,1256.6,1256.6,9.6,10.6,1,1,21,21.6,17.2,18.2,17.2,18.2,0.25,0.283,19.99,SEED,2
MT,MTV,2005,SEED,001A,2016,2017,599,4494,599-4494,1256.6,1256.6,10.6,11.8,1,1,21.6,22.6,18.2,18.9,18.2,18.9,0.283,0.306,19.99,SEED,2
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,2,2,3.4,7.1,2.2,6,2.2,6,0.002,0.013,19.99,SEED,3
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,2,2,7.1,8.8,6,8,6,8,0.013,0.024,19.99,SEED,3
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,2,2,8.8,11.4,8,10.6,8,10.6,0.024,0.052,19.99,SEED,3
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,2,2,11.4,14,10.6,11.6,10.6,11.6,0.052,0.08,19.99,SEED,3
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,2,2,14,15.2,11.6,13.2,11.6,13.2,0.08,0.105,19.99,SEED,3
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,3,3,14.3,14.7,13.4,14.2,13.4,14.2,0.096,0.107,19.99,SEED,4
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,3,3,14.7,15.7,14.2,15.6,14.2,15.6,0.107,0.133,19.99,SEED,4
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,4,4,4.2,7.3,3.5,6.2,3.5,6.2,0.004,0.014,19.99,SEED,5
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,4,4,7.3,10.1,6.2,8.1,6.2,8.1,0.014,0.031,19.99,SEED,5
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,4,4,10.1,13,8.1,10.4,8.1,10.4,0.031,0.062,19.99,SEED,5
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,4,4,13,15.1,10.4,12.1,10.4,12.1,0.062,0.095,19.99,SEED,5
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,4,4,15.1,17.7,12.1,13,12.1,13,0.095,0.134,19.99,SEED,5
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,4,4,15.2,16.2,13.8,15.3,13.8,15.3,0.111,0.138,19.99,SEED,6
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,4,4,16.2,17.1,15.3,16.3,15.3,16.3,0.138,0.163,19.99,SEED,6
MT,MTV,2005,SEED,001A,2016,2017,599,4494,599-4494,1256.6,1256.6,10.6,11.8,4,4,17.1,17.4,15.8,16.7,15.8,16.7,0.159,0.171,19.99,SEED,6
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,5,5,2.2,5.4,2,5.7,2,5.7,0.001,0.008,19.99,SEED,7
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,5,5,5.4,7.1,5.7,7.9,5.7,7.9,0.008,0.017,19.99,SEED,7
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,5,5,7.1,9.9,7.9,10.4,7.9,10.4,0.017,0.041,19.99,SEED,7
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,6,6,2.2,5.7,2,6.7,2,6.7,0.001,0.01,19.99,SEED,8
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,6,6,5.7,8.4,6.7,8.5,6.7,8.5,0.01,0.024,19.99,SEED,8
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,6,6,8.4,12.5,8.5,11.3,8.5,11.3,0.024,0.065,19.99,SEED,8
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,6,6,12.5,14.6,11.3,13.1,11.3,13.1,0.065,0.098,19.99,SEED,8
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,6,6,14.6,16.9,13.1,13.9,13.1,13.9,0.098,0.134,19.99,SEED,8
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,6,6,15.5,15.9,14.8,14.8,14.8,14.8,0.123,0.13,19.99,SEED,9
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,6,6,15.9,16.7,14.8,15.5,14.8,15.5,0.13,0.148,19.99,SEED,9
MT,MTV,2005,SEED,001A,2015,2016,599,4494,599-4494,1256.6,1256.6,9.6,10.6,6,6,16.7,16.8,15.5,15,15.5,15,0.148,0.145,19.99,SEED,9
MT,MTV,2005,SEED,001A,2016,2017,599,4494,599-4494,1256.6,1256.6,10.6,11.8,6,6,16.8,17.2,15,15.5,15,15.5,0.145,0.159,19.99,SEED,9
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,7,7,2.8,6.9,2.5,5.7,2.5,5.7,0.002,0.012,19.99,SEED,10
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,7,7,6.9,8.6,5.7,7.7,5.7,7.7,0.012,0.022,19.99,SEED,10
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,7,7,8.6,11.5,7.7,9.8,7.7,9.8,0.022,0.048,19.99,SEED,10
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,8,8,3.5,8.7,3.2,6.7,3.2,6.7,0.003,0.02,19.99,SEED,11
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,8,8,8.7,10.7,6.7,9.5,6.7,9.5,0.02,0.04,19.99,SEED,11
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,8,8,10.7,15.1,9.5,11.2,9.5,11.2,0.04,0.086,19.99,SEED,11
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,8,8,15.1,16.3,11.2,13.4,11.2,13.4,0.086,0.12,19.99,SEED,11
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,8,8,16.3,18.7,13.4,14.4,13.4,14.4,0.12,0.164,19.99,SEED,11
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,8,8,16.3,16.8,14,15.3,14,15.3,0.128,0.148,19.99,SEED,12
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,8,8,16.8,17.5,15.3,16.4,15.3,16.4,0.148,0.171,19.99,SEED,12
MT,MTV,2005,SEED,001A,2015,2016,599,4494,599-4494,1256.6,1256.6,9.6,10.6,8,8,17.5,18.3,16.4,16.8,16.4,16.8,0.171,0.192,19.99,SEED,12
MT,MTV,2005,SEED,001A,2016,2017,599,4494,599-4494,1256.6,1256.6,10.6,11.8,8,8,18.3,18.5,16.8,18,16.8,18,0.192,0.203,19.99,SEED,12
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,9,9,3.3,6.8,2.7,5.7,2.7,5.7,0.003,0.012,19.99,SEED,13
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,9,9,6.8,8.1,5.7,8.2,5.7,8.2,0.012,0.022,19.99,SEED,13
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,9,9,8.1,10.6,8.2,10.8,8.2,10.8,0.022,0.048,19.99,SEED,13
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,10,10,3.6,7.4,2.5,6.5,2.5,6.5,0.003,0.015,19.99,SEED,14
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,10,10,7.4,9.4,6.5,9.3,6.5,9.3,0.015,0.031,19.99,SEED,14
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,10,10,9.4,12.3,9.3,11.4,9.3,11.4,0.031,0.064,19.99,SEED,14
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,10,10,12.3,14.2,11.4,13,11.4,13,0.064,0.093,19.99,SEED,14
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,10,10,14.2,16,13,14.9,13,14.9,0.093,0.13,19.99,SEED,14
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,10,10,16.6,17.3,14.2,15.4,14.2,15.4,0.134,0.157,19.99,SEED,15
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,10,10,17.3,17.4,15.4,16.8,15.4,16.8,0.157,0.174,19.99,SEED,15
MT,MTV,2005,SEED,001A,2015,2016,599,4494,599-4494,1256.6,1256.6,9.6,10.6,10,10,17.4,17.9,16.8,16.4,16.8,16.4,0.174,0.179,19.99,SEED,15
MT,MTV,2005,SEED,001A,2016,2017,599,4494,599-4494,1256.6,1256.6,10.6,11.8,10,10,17.9,18.4,16.4,18.1,16.4,18.1,0.179,0.202,19.99,SEED,15
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,11,11,3.3,6.9,2.5,7,2.5,7,0.002,0.015,19.99,SEED,16
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,11,11,6.9,9.3,7,10,7,10,0.015,0.033,19.99,SEED,16
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,11,11,9.3,12.2,10,10.6,10,10.6,0.033,0.058,19.99,SEED,16
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,11,11,22.5,24,15.9,15.9,15.9,15.9,0.266,0.297,19.99,SEED,17
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,11,11,24,25.8,15.9,17.3,15.9,17.3,0.297,0.369,19.99,SEED,17
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,12,12,2.4,6,2.2,5,2.2,5,0.001,0.009,19.99,SEED,18
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,12,12,6,7.9,5,7.2,5,7.2,0.009,0.018,19.99,SEED,18
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,12,12,7.9,10.5,7.2,10.5,7.2,10.5,0.018,0.045,19.99,SEED,18
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,13,13,2.9,6.5,2.5,6.2,2.5,6.2,0.002,0.012,19.99,SEED,19
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,13,13,6.5,8.3,6.2,7.3,6.2,7.3,0.012,0.02,19.99,SEED,19
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,13,13,8.3,10.3,7.3,9.6,7.3,9.6,0.02,0.04,19.99,SEED,19
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,13,13,10.3,11.9,9.6,10.7,9.6,10.7,0.04,0.056,19.99,SEED,19
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,13,13,11.9,13,10.7,11.4,10.7,11.4,0.056,0.069,19.99,SEED,19
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,13,13,17.7,18.6,14.8,15.2,14.8,15.2,0.158,0.178,19.99,SEED,20
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,13,13,18.6,19.5,15.2,16,15.2,16,0.178,0.203,19.99,SEED,20
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,14,14,5.1,7.1,5.7,7.5,5.7,7.5,0.008,0.016,19.99,SEED,21
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,14,14,7.1,9.6,7.5,9.8,7.5,9.8,0.016,0.036,19.99,SEED,21
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,15,15,5.3,8,4.5,6.5,4.5,6.5,0.007,0.017,19.99,SEED,22
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,15,15,8,11,6.5,9.3,6.5,9.3,0.017,0.042,19.99,SEED,22
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,15,15,11,11.7,9.3,10.1,9.3,10.1,0.042,0.051,19.99,SEED,22
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,15,15,11.7,14.6,10.1,11.1,10.1,11.1,0.051,0.082,19.99,SEED,22
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,15,15,18,18.6,14.2,14.2,14.2,14.2,0.157,0.165,19.99,SEED,23
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,15,15,18.6,19.3,14.2,15.3,14.2,15.3,0.165,0.192,19.99,SEED,23
MT,MTV,2005,SEED,001A,2015,2016,599,4494,599-4494,1256.6,1256.6,9.6,10.6,15,15,19.3,20.2,15.3,15.9,15.3,15.9,0.192,0.214,19.99,SEED,23
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,16,16,2.9,5.6,2,6.2,2,6.2,0.002,0.01,19.99,SEED,24
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,16,16,5.6,7.9,6.2,7.5,6.2,7.5,0.01,0.019,19.99,SEED,24
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,16,16,7.9,10.6,7.5,10.3,7.5,10.3,0.019,0.045,19.99,SEED,24
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,16,16,10.6,11.6,10.3,11.6,10.3,11.6,0.045,0.059,19.99,SEED,24
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,16,16,11.6,14.7,11.6,11.8,11.6,11.8,0.059,0.089,19.99,SEED,24
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,17,17,3.2,5.7,NULL,NULL,3.3,7.1,0.002,0.01,19.99,SEED,25
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,17,17,5.7,8.2,NULL,NULL,7.1,9.8,0.01,0.028,19.99,SEED,25
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,17,17,17.2,18.6,15.5,14.8,15.5,14.8,0.157,0.173,19.99,SEED,26
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,17,17,18.6,20.2,14.8,15.8,14.8,15.8,0.173,0.215,19.99,SEED,26
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,18,18,4.5,6.9,NULL,NULL,4.6,8,0.005,0.016,19.99,SEED,27
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,18,18,6.9,9.1,NULL,NULL,8,10.2,0.016,0.035,19.99,SEED,27
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,18,18,9.1,11.6,NULL,NULL,10.2,11.9,0.035,0.061,19.99,SEED,27
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,18,18,11.6,13.5,NULL,NULL,11.9,13.1,0.061,0.086,19.99,SEED,27
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,19,19,3.6,6.3,NULL,NULL,3.7,7.6,0.003,0.013,19.99,SEED,28
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,19,19,6.3,9.4,NULL,NULL,7.6,10.3,0.013,0.037,19.99,SEED,28
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,19,19,19.7,21.5,15.5,15.9,15.5,15.9,0.202,0.243,19.99,SEED,29
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,19,19,21.5,22.3,15.9,16.2,15.9,16.2,0.243,0.264,19.99,SEED,29
MT,MTV,2005,SEED,001A,2015,2016,599,4494,599-4494,1256.6,1256.6,9.6,10.6,19,19,22.3,23.3,16.2,18,16.2,18,0.264,0.318,19.99,SEED,29
MT,MTV,2005,SEED,001A,2016,2017,599,4494,599-4494,1256.6,1256.6,10.6,11.8,19,19,23.3,24.4,18,19.5,18,19.5,0.318,0.36,19.99,SEED,29
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,20,20,5,8.1,NULL,NULL,5,8.6,0.007,0.023,19.99,SEED,30
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,20,20,8.1,10.7,NULL,NULL,8.6,10.8,0.023,0.048,19.99,SEED,30
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,20,20,10.7,12.3,NULL,NULL,10.8,12.1,0.048,0.068,19.99,SEED,30
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,20,20,12.3,14.9,NULL,NULL,12.1,13.5,0.068,0.104,19.99,SEED,30
