CODPROJETO,CODTALHAO,DEBASTE,DESBASTESEQ,REMANESCENTE,TIPODESBASTE
MTV,001A,2007,0,,
MTV,001A,2008,0,,
MTV,001A,2009,0,,
MTV,001A,2010,1,556,
MTV,001A,2011,1,,
MTV,001A,2012,1,,
MTV,001A,2013,1,,
MTV,001A,2014,1,,
MTV,001A,2015,2,333,Sistematico
MTV,001A,2016,2,,
MTV,001A,2017,2,,
MTV,001A,2018,2,,
MTV,001A,2019,2,,
MTV,001A,2020,2,,
MTV,10,2007,0,,
MTV,10,2008,0,,
MTV,10,2009,0,,
MTV,10,2010,1,556,
MTV,10,2011,1,,
MTV,10,2012,1,,
MTV,10,2013,1,,
MTV,10,2014,2,333,Sistematico
MTV,10,2015,2,,
MTV,10,2016,2,,
MTV,10,2017,3,222,Seletivo
MTV,10,2018,3,,
MTV,10,2019,3,,
MTV,10,2020,3,,
MTV,025B,2007,0,,
MTV,025B,2008,0,,
MTV,025B,2009,0,,
MTV,025B,2010,1,556,
MTV,025B,2011,1,,
MTV,025B,2012,1,,
MTV,025B,2013,1,,
MTV,025B,2014,1,,
MTV,025B,2015,1,,
MTV,025B,2016,1,,
MTV,025B,2017,1,,
MTV,025B,2018,2,333,Sistematico
MTV,025B,2019,2,,
MTV,025B,2020,2,,
MTV,067A,2007,0,,
MTV,067A,2008,0,,
MTV,067A,2009,0,,
MTV,067A,2010,1,556,
MTV,067A,2011,1,,
MTV,067A,2012,1,,
MTV,067A,2013,1,,
MTV,067A,2014,2,333,Sistematico
MTV,067A,2015,2,,
MTV,067A,2016,2,,
MTV,067A,2017,3,222,Seletivo
MTV,067A,2018,3,,
MTV,067A,2019,3,,
MTV,067A,2020,3,,
