ESTADO,CODPROJETO,ANO,CLONESEMENTE,CODTALHAO,ANOREF,ANOREF,CHATALHAO,NUMPARCELA,CHAVE,AREA,AREA,I1,I2,FILA,FILA,NUMARVORECONTROLE,NUMARVORECONTROLE,DAP1,DAP2,ALT1,ALT2,ALTEST1,ALTEST2,VCCI,VCCI2,S,CLONESEMENTE,indice
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,1,1,1,1,26.45,28.05,18.3,20.6,18.3,20.6,0.402169299,0.490812546,19.99463927,SEED,1
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,1,1,1,1,28.05,28.4,20.6,21.7,20.6,21.7,0.490812546,0.528328987,19.99463927,SEED,1
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,1,1,3,3,22.5,23.95,17.7,19.1,17.7,19.1,0.289363116,0.343791537,19.99463927,SEED,2
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,1,1,3,3,23.95,24.15,19.1,19.9,19.1,19.9,0.343791537,0.365540144,19.99463927,SEED,2
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,1,1,5,5,23.9,24.5,16.9,18,16.9,18,0.313766274,0.343988543,19.99463927,SEED,3
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,1,1,5,5,24.5,25.15,18,19.1,18,19.1,0.343988543,0.381076644,19.99463927,SEED,3
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,1,1,9,9,18.6,20.2,18,18.4,18,18.4,0.204435869,0.241817518,19.99463927,SEED,4
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,1,1,9,9,20.2,20.75,18.4,19.6,18.4,19.6,0.241817518,0.27306392,19.99463927,SEED,4
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,1,1,10,10,25.5,27.85,17.7,19.8,17.7,19.8,0.3665057,0.470529823,19.99463927,SEED,5
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,1,1,10,10,27.85,28.65,19.8,20.3,19.8,20.3,0.470529823,0.508809864,19.99463927,SEED,5
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,1,1,11,11,21.95,23,16,17.8,16,17.8,0.256950354,0.302474378,19.99463927,SEED,6
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,1,1,11,11,23,23.55,17.8,18,17.8,18,0.302474378,0.321861398,19.99463927,SEED,6
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,2,2,2,2,18.4,19.45,0,0,16.4,18.6,0.18702109,0.227026549,19.99463927,SEED,7
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,2,2,2,2,19.45,19.85,0,0,18.6,19,0.227026549,0.245865763,19.99463927,SEED,7
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,2,2,4,4,18.7,20.05,17.7,18,17.7,18,0.204053626,0.234655684,19.99463927,SEED,8
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,2,2,5,5,20.4,21.3,17.4,18.9,17.4,18.9,0.237573218,0.272786514,19.99463927,SEED,9
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,2,2,5,5,21.3,21.85,18.9,19.6,18.9,19.6,0.272786514,0.300313223,19.99463927,SEED,9
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,2,2,7,7,24.2,26.2,17.6,18.9,17.6,18.9,0.330685963,0.404960179,19.99463927,SEED,10
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,2,2,7,7,26.2,26.7,18.9,21,18.9,21,0.404960179,0.459257118,19.99463927,SEED,10
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,2,2,9,9,23.15,23.85,16.5,17.9,16.5,17.9,0.290426236,0.325474249,19.99463927,SEED,11
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,2,2,9,9,23.85,24,17.9,19.7,17.9,19.7,0.325474249,0.358438344,19.99463927,SEED,11
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,2,2,10,10,16.85,17.4,0,0,15.9,18,0.15520568,0.179048738,19.99463927,SEED,12
