parcela,arv,comum,cientifico,familia,dap.2013,Hcom.2013,Htot.2013,UTM_Easting,UTM_Northing
T01,1,ENVIRA BIRIBA,NI,NI,11.1,9.44,12.36,220532.4959,9634021.826
T01,2,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,12.6,14.5,19.89,220517.7534,9634013.352
T01,3,ANDORINHA,Casearia grandiflora,Salicaceae,12,8.46,12.8,220493.8442,9634000.801
T01,4,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,13.6,7.66,10.34,220487.1511,9633996.364
T01,5,CUMARU,Dipteryx odorata,Fabaceae,15.2,14.71,16.8,220483.7652,9633994.636
T01,6,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,11,12.44,18.51,220475.6357,9633990.328
T01,7,ENVIRA BIRIBA,NI,NI,11.5,6.59,10.05,220450.8002,9633977.387
T01,8,ENVIRA BIRIBA,NI,NI,13.8,10.97,16.67,220441.424,9633971.604
T01,9,MURTA,Strychnos subcordata,Loganiaceae,10.6,6.61,10.04,220424.5177,9633962.294
T01,10,MORTA,NA,NA,14.8,NA,4.01,220412.2194,9633955.604
T01,11,ANDORINHA,Casearia grandiflora,Salicaceae,12.7,10.24,13.69,220410.7261,9633954.792
T01,12,MORTA,NA,NA,13,NA,8.75,220398.6513,9633948.11
T01,13,MURTA,Strychnos subcordata,Loganiaceae,10.5,7.87,12.01,220396.6709,9633947.147
T01,14,ANDORINHA,Casearia grandiflora,Salicaceae,19.6,6.68,17.4,220373.0006,9633934.157
T01,15,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,16.1,9.54,15.52,220369.8782,9633932.572
T01,16,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,11.8,9.31,15.22,220365.8082,9633931.058
T01,17,ANDORINHA,Casearia grandiflora,Salicaceae,18.7,13.53,19.38,220361.4564,9633927.565
T01,18,ANDORINHA,Casearia grandiflora,Salicaceae,10.8,9.97,14.28,220361.3694,9633927.516
T01,19,INGA VERMELHO,Inga alba,Fabaceae,22.2,8.47,14.64,220354.7517,9633924.81
T01,20,INGA VERMELHO,Inga alba,Fabaceae,41.6,18.44,45.47,220326.5948,9633915.789
T01,21,NI,NI,NI,11.9,3.69,10.42,220329.0218,9633909.35
T01,22,MORTA,NA,NA,23,NA,2.61,220310.952,9633899.253
T01,23,PAU SANTO,Zollernia paraensis,Fabaceae,30.1,17.25,22.52,220303.3866,9633895.782
T01,24,MORTA,NA,NA,19.7,NA,6.64,220297.4677,9633891.403
T01,25,ANGELIM RAJADO,Zygia racemosa,Fabaceae,11.1,10.23,13.09,220293.6272,9633889.463
T01,26,PAU DE REMO,Chimarrhis turbinata,Rubiaceae,45.6,15.88,19.75,220289.9672,9633890.495
