parcela,arvore,comum,cientifico,familia,dap2012,hcom,ht,vertical,luminosidade
T01,2,macucu,Licania guianensis,Chrysobalanaceae,10.3,4.59,7.83,S,2
T01,5,casca seca,Licania canescens,Chrysobalanaceae,14.6,9.16,10.27,S,2
T01,6,cajuacu,Anacardium spruceanum,Anacardiaceae,78.8,21.06,31.65,E,1
T01,7,breu branco,Protium paniculatum,Burseraceae,14.7,7.35,11.54,S,2
T01,9,breu branco,Protium paniculatum,Burseraceae,10.6,4.9,6.91,E,3
T01,10,caramuxi,Pouteria hispida,Sapotaceae,27.1,13.53,19.83,C,2
T01,12,casca seca,Licania canescens,Chrysobalanaceae,15.1,7.44,12.09,E,2
T01,13,jatereu,Lecythis idatimon,Lecythidaceae,16.5,7.61,11.46,S,2
T01,14,jatereu,Lecythis idatimon,Lecythidaceae,12,8.41,12.26,S,1
T01,15,parajuba,Manilkara bidentata,Sapotaceae,38.4,31.19,32.29,C,2
T01,16,guajara branco,Pouteria sp.,Sapotaceae,48.5,20.84,31.1,C,2
T01,17,seringueira,Hevea brasiliensis,Euphorbiaceae,50.3,24.5,33.43,E,1
T01,18,guajara branco,Pouteria sp.,Sapotaceae,41.9,18.7,28.84,C,2
T01,19,capueiro,Rinorea guianensis,Violaceae,11.4,7.49,10.57,S,2
T01,20,casca seca,Licania canescens,Chrysobalanaceae,15,9.49,14.79,S,2
T01,22,matamata,Eschweilera amazonica,Lecythidaceae,15.5,7.07,10.2,S,1
T01,23,jatereu,Lecythis idatimon,Lecythidaceae,35.2,20.19,37.54,C,1
T01,24,guajara branco,Pouteria sp.,Sapotaceae,59.3,10.17,24.67,C,1
T01,25,macucu,Licania guianensis,Chrysobalanaceae,11,6.72,11.57,S,2
T01,27,abiurana,Pouteria gongrijpii,Sapotaceae,52,18.97,36.95,C,2
T01,28,guajara branco,Pouteria sp.,Sapotaceae,52.2,24.58,33.93,C,1
T01,29,morta,NA,NA,40.2,NA,6.3,NA,NA
T01,33,ucurana,Sloanea guianensis,Elaeocarpaceae,40.6,17.53,26.17,C,2
T01,36,cajuacu,Anacardium spruceanum,Anacardiaceae,36.1,16.38,29.42,C,1
T01,37,macaranduba,Manilkara huberi,Sapotaceae,10.3,13.37,15.97,S,3
T01,38,matamata,Eschweilera amazonica,Lecythidaceae,27,17.45,22.52,S,2
T01,41,caramuxi,Pouteria hispida,Sapotaceae,46,20.35,31.98,C,2
T01,42,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,17.24,22.02,S,1
T01,43,morta,NA,NA,19.1,NA,18.4,NA,NA
T01,45,sucupira,Diplotropis sp.,Fabaceae,17,2.52,7.85,S,1
T01,46,jatereu,Lecythis idatimon,Lecythidaceae,10,6.97,9.03,S,1
T01,47,matamata,Eschweilera parviflora,Lecythidaceae,43.5,22.08,34.35,C,1
T01,48,abiurana,Pouteria gongrijpii,Sapotaceae,38.5,22.27,29.33,C,2
T01,52,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,11.67,17.81,S,3
T01,53,matamata,Eschweilera amazonica,Lecythidaceae,46,29.3,34.83,E,1
T01,54,matamata,Eschweilera amazonica,Lecythidaceae,36.5,19.43,28.6,S,1
T01,59,matamata,Eschweilera amazonica,Lecythidaceae,22,11.02,19.12,S,2
T01,61,jatereu,Lecythis idatimon,Lecythidaceae,13,9.44,15.63,S,3
T01,63,guajara branco,Pouteria sp.,Sapotaceae,70,30.63,50.97,E,1
T01,65,capueiro,Rinorea guianensis,Violaceae,10.6,9.04,15.24,S,1
T01,66,cajuacu,Anacardium spruceanum,Anacardiaceae,18.6,11.61,18.21,S,2
T01,68,abiurana,Pouteria gongrijpii,Sapotaceae,24.2,14.18,19.46,S,3
T01,70,inga,Inga marginata,Fabaceae,17,16.27,21.32,S,2
T01,73,matamata,Eschweilera parviflora,Lecythidaceae,33.1,13.08,27.87,S,2
T01,74,sucupira,Diplotropis sp.,Fabaceae,40.9,21.18,30.19,E,2
T01,77,morta,NA,NA,20.2,NA,10.7,NA,NA
T01,78,inhare,Helicostylis sp.,Moraceae,36.4,18.62,25.25,S,2
T01,80,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,44,2.58,4.05,S,2
T01,82,breu vermelho,Protium hebetatum,Burseraceae,26.8,21.84,28.77,C,2
T01,84,caramuxi,Pouteria hispida,Sapotaceae,46.6,16.36,25.24,C,2
T01,89,morta,NA,NA,35.6,NA,5.61,NA,NA
T01,90,acariquara,Minquartia guianensis,Olacaceae,10,8.04,10.34,S,3
T01,92,jatereu,Lecythis idatimon,Lecythidaceae,42,19.95,32.47,E,1
T01,94,casca seca,Licania canescens,Chrysobalanaceae,33.1,13.7,26.45,C,1
T01,95,matamata,Eschweilera parviflora,Lecythidaceae,12,7.24,8.99,S,1
T01,96,jatereu,Lecythis idatimon,Lecythidaceae,11.7,15.67,19.39,S,1
T01,98,abiu cutite,NA,NA,17.9,16.95,21.82,C,2
T01,105,macucu,Licania guianensis,Chrysobalanaceae,26.4,19.79,32.05,S,2
T01,106,caqui,Diospyros guianensis,Ebenaceae,11.6,9.2,20.21,S,1
T01,107,pintadinho,Poeppigia procera,Fabaceae,20.6,15.04,21.1,S,2
T01,108,matamata,Eschweilera amazonica,Lecythidaceae,36.5,12.37,17.99,S,2
T01,109,breu manga,Tetragastris altissima,Burseraceae,53,21.02,27.67,E,1
T01,110,sucupira,Diplotropis sp.,Fabaceae,41.2,25.88,35.53,E,1
T01,113,seringarana,Micrandra minor,Euphorbiaceae,46.9,26.22,35.57,C,1
T01,115,matamata,Eschweilera amazonica,Lecythidaceae,28.1,15.94,27.44,S,2
T01,116,pintadinho,Poeppigia procera,Fabaceae,39.1,18.02,25.88,S,2
T01,117,tanibuca,Terminalia amazonia,Combretaceae,35.4,12.66,18.18,S,2
T01,118,macucu,Licania guianensis,Chrysobalanaceae,10.9,10.47,15.11,S,2
T01,119,tachi preto,Tachigali myrmecophila,Fabaceae,60,36.15,52.5,E,1
T01,120,parajuba,Manilkara bidentata,Sapotaceae,52.8,16,24.43,C,2
T01,123,timborana,Pseudopiptadenia suaveolens,Fabaceae,48.4,10.41,17.87,C,1
T01,126,uxirana,Sacoglottis guianensis,Humiriaceae,27.8,12.36,19.61,C,1
T01,129,jutai,Hymenaea parvifolia,Fabaceae,59.6,21.08,32.62,E,1
T01,131,matamata,Eschweilera amazonica,Lecythidaceae,22.4,15.18,22.21,S,2
T01,135,ucurana,Sloanea guianensis,Elaeocarpaceae,10.3,6.6,9.31,S,2
T01,136,parajuba,Manilkara bidentata,Sapotaceae,36.6,9.17,14.62,C,2
T01,138,morta,NA,NA,36.6,NA,2.51,NA,NA
T01,142,jatereu,Lecythis idatimon,Lecythidaceae,36.3,13.53,26.12,C,2
T01,143,casca seca,Licania canescens,Chrysobalanaceae,14.9,8.67,12.41,S,3
T01,144,jatereu,Lecythis idatimon,Lecythidaceae,27.7,13.47,20.58,C,1
T01,145,guajara branco,Pouteria sp.,Sapotaceae,53.2,20.28,30.71,E,1
T01,147,mato,NA,NA,22.5,10.71,16.74,S,2
T01,148,matamata,Eschweilera parviflora,Lecythidaceae,11,7.04,10.59,E,2
T01,150,morta,NA,NA,71.2,NA,9.42,NA,NA
T01,152,tauari,Couratari stellata,Lecythidaceae,40,23.32,29.83,C,1
T01,153,tatapiririca,Tapirira guianensis,Anacardiaceae,35.4,23.63,30.6,S,2
T01,154,matamata,Eschweilera amazonica,Lecythidaceae,38,17.19,28.91,C,1
T01,156,copaiba,Copaifera reticulata,Fabaceae,50.6,27.61,38,E,1
T01,157,timborana,Pseudopiptadenia suaveolens,Fabaceae,50,26.35,45.89,E,1
T01,159,axixa,Sterculia pruriens,Malvaceae,55,26.06,34.79,E,1
T01,160,matamata branco,Eschweilera coriacea,Lecythidaceae,56,19.9,32.65,C,1
T01,161,parajuba,Manilkara bidentata,Sapotaceae,39,15.89,27.95,E,1
T01,162,breu barrote,Tetragastris panamensis,Burseraceae,41,17.42,30.84,S,2
T01,163,timborana,Pseudopiptadenia suaveolens,Fabaceae,40,28.26,39.02,E,1
T01,164,abiurana,Pouteria gongrijpii,Sapotaceae,49.6,19.03,31.46,E,1
T01,165,matamata preto,Eschweilera ovata,Lecythidaceae,44.5,17.22,24.42,E,1
T01,167,tauari,Couratari stellata,Lecythidaceae,50,26.53,37.42,E,1
T01,168,matamata,Eschweilera parviflora,Lecythidaceae,55,19.2,28.16,C,1
T01,169,uxirana,Sacoglottis guianensis,Humiriaceae,42.7,23.65,36.1,C,1
T01,170,seringarana,Micrandra minor,Euphorbiaceae,38,23.16,31.97,C,2
T01,171,matamata preto,Eschweilera ovata,Lecythidaceae,35.5,19.01,26.08,C,2
T01,172,louro preto,Nectandra cuspidata,Lauraceae,49.8,22.11,37.04,C,1
T01,173,sucupira tento,Ormosia nobilis,Fabaceae,52.1,19.53,31.48,C,1
T01,175,inhare,Helicostylis sp.,Moraceae,35.3,13.26,19.2,C,1
T01,176,matamata preto,Eschweilera ovata,Lecythidaceae,35.3,9.93,18.11,C,1
T01,178,abiurana,Pouteria gongrijpii,Sapotaceae,48.5,15.04,26.54,C,1
T01,179,casca seca,Licania canescens,Chrysobalanaceae,46.4,13.95,20.39,E,1
T01,180,cajuacu,Anacardium spruceanum,Anacardiaceae,93.9,30.83,42.56,E,1
T01,181,parajuba,Manilkara bidentata,Sapotaceae,37,15.09,23.73,C,2
T01,182,tachi preto,Tachigali myrmecophila,Fabaceae,50.5,26.23,37.25,E,1
T01,183,louro preto,Nectandra cuspidata,Lauraceae,41.3,14.75,24.36,S,2
T01,184,matamata branco,Eschweilera coriacea,Lecythidaceae,39.1,18.51,28.87,C,1
T01,185,muirapiranga,Brosimum rubescens,Moraceae,56,24.8,37.88,E,1
T01,186,matamata vermelho,Eschweilera coriacea,Lecythidaceae,43.5,22.66,30.86,C,2
T01,187,matamata branco,Eschweilera coriacea,Lecythidaceae,36.8,24.16,41.8,C,2
T01,188,jatereu,Lecythis idatimon,Lecythidaceae,54,25.23,46.18,C,2
T02,1,abiurana,Pouteria gongrijpii,Sapotaceae,24.5,13.18,22.99,S,2
T02,2,casca seca,Licania canescens,Chrysobalanaceae,72.5,19.63,33.58,C,1
T02,4,timborana,Pseudopiptadenia suaveolens,Fabaceae,10.3,4.77,9.34,S,2
T02,6,inga,Inga marginata,Fabaceae,10.6,6.4,10.59,S,2
T02,8,jatereu,Lecythis idatimon,Lecythidaceae,15.5,10.01,16.03,S,2
T02,11,maracatiara,Astronium graveolens,Anacardiaceae,23.9,14.6,15.84,C,1
T02,13,parajuba,Manilkara bidentata,Sapotaceae,26.4,12.72,18.86,C,1
T02,14,inga,Inga marginata,Fabaceae,14.4,4.8,10.57,S,2
T02,16,louro,Ocotea canaliculata,Lauraceae,12.5,8.54,14.23,S,2
T02,17,breu branco,Protium paniculatum,Burseraceae,44.5,10.18,18.86,S,2
T02,18,tento,Ormosia grossa,Fabaceae,50,20.71,34.88,S,1
T02,19,macucu,Licania guianensis,Chrysobalanaceae,12.2,11.72,16.66,S,2
T02,20,guajara branco,Pouteria sp.,Sapotaceae,55.4,20.91,36.12,C,1
T02,22,casca seca,Licania canescens,Chrysobalanaceae,37.9,20.21,35.23,C,2
T02,23,muirapiranga,Brosimum rubescens,Moraceae,74.5,28.64,43.72,C,1
T02,24,abiurana,Pouteria gongrijpii,Sapotaceae,55.3,13.26,25.51,C,1
T02,25,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,10.9,4.8,10.14,C,1
T02,26,uxirana,Sacoglottis guianensis,Humiriaceae,22.8,11.44,20.45,S,2
T02,27,tento,Ormosia grossa,Fabaceae,17.4,11.24,13.34,S,2
T02,29,piquia,Caryocar villosum,Caryocaraceae,88,22.01,35.15,E,1
T02,31,preciosa,Aniba canelilla,Lauraceae,10.3,5.79,11.39,S,2
T02,33,mapatirana,Pourouma villosa,Urticaceae,58.2,13.39,27.06,E,1
T02,35,abiurana,Pouteria gongrijpii,Sapotaceae,40.8,20.7,31.01,C,1
T02,36,casca seca,Licania canescens,Chrysobalanaceae,20.4,14.77,24.54,S,2
T02,37,abiurana,Pouteria gongrijpii,Sapotaceae,18.8,14.13,24.36,S,2
T02,38,capueiro,Rinorea guianensis,Violaceae,27.2,12.45,22.94,S,2
T02,41,coco-pau,Couepia robusta,Chrysobalanaceae,43.4,26.53,35.38,C,1
T02,42,matamata,Eschweilera amazonica,Lecythidaceae,35,16.82,30.76,C,1
T02,43,abiurana,Pouteria gongrijpii,Sapotaceae,12.6,10.08,16,S,3
T02,45,matamata,Eschweilera parviflora,Lecythidaceae,10.4,6.4,11.91,S,2
T02,46,jatereu,Lecythis idatimon,Lecythidaceae,15.8,9.63,14.28,S,2
T02,47,fava,Parkia sp.,Fabaceae,40.8,12.56,22.84,S,1
T02,49,casca seca,Licania canescens,Chrysobalanaceae,17.5,17.15,27.97,S,2
T02,50,matamata,Eschweilera amazonica,Lecythidaceae,24,16.75,27.47,S,2
T02,51,morta,NA,NA,58.9,NA,5.27,NA,NA
T02,52,parajuba,Manilkara bidentata,Sapotaceae,39.8,19.95,28.26,S,2
T02,55,amapa amargoso,Brosimum guianense,Moraceae,48.6,20.24,30.26,E,1
T02,56,manguerana,Tovomita sp.,Clusiaceae,10.6,4.79,8.31,S,2
T02,57,jatereu,Lecythis idatimon,Lecythidaceae,32.7,14.91,20.84,E,1
T02,58,breu barrote,Tetragastris panamensis,Burseraceae,17.1,6.92,13.23,S,2
