parcela,arvore,comum,cientifico,familia,dap2012,cc2012,hcom,ht,vertical,luminosidade,medicao,dap2014,cc2014
T01,2,macucu,Licania guianensis,Chrysobalanaceae,10.3,12.5,4.59,7.83,S,2,20120127,10.3,12.5
T01,5,casca seca,Licania canescens,Chrysobalanaceae,14.6,12.5,9.16,10.27,S,2,20120127,14.9,12.5
T01,6,cajuacu,Anacardium spruceanum,Anacardiaceae,78.8,77.5,21.06,31.65,E,1,20120127,78.9,77.5
T01,7,breu branco,Protium paniculatum,Burseraceae,14.7,12.5,7.35,11.54,S,2,20120127,14.7,12.5
T01,9,breu branco,Protium paniculatum,Burseraceae,10.6,12.5,4.9,6.91,E,3,20120127,10.6,12.5
T01,10,caramuxi,Pouteria hispida,Sapotaceae,27.1,27.5,13.53,19.83,C,2,20120127,27.7,27.5
T01,12,casca seca,Licania canescens,Chrysobalanaceae,15.1,17.5,7.44,12.09,E,2,20120127,15.3,17.5
T01,13,jatereu,Lecythis idatimon,Lecythidaceae,16.5,17.5,7.61,11.46,S,2,20120127,16.5,17.5
T01,14,jatereu,Lecythis idatimon,Lecythidaceae,12,12.5,8.41,12.26,S,1,20120127,12,12.5
T01,15,parajuba,Manilkara bidentata,Sapotaceae,38.4,37.5,31.19,32.29,C,2,20120127,39.6,37.5
T01,16,guajara branco,Pouteria sp.,Sapotaceae,48.5,47.5,20.84,31.1,C,2,20120127,46.5,47.5
T01,17,seringueira,Hevea brasiliensis,Euphorbiaceae,50.3,52.5,24.5,33.43,E,1,20120127,58.6,57.5
T01,18,guajara branco,Pouteria sp.,Sapotaceae,41.9,42.5,18.7,28.84,C,2,20120127,42.5,42.5
T01,19,capueiro,Rinorea guianensis,Violaceae,11.4,12.5,7.49,10.57,S,2,20120127,12,12.5
T01,20,casca seca,Licania canescens,Chrysobalanaceae,15,17.5,9.49,14.79,S,2,20120127,19.2,17.5
T01,22,matamata,Eschweilera amazonica,Lecythidaceae,15.5,17.5,7.07,10.2,S,1,20120127,13.6,12.5
T01,23,jatereu,Lecythis idatimon,Lecythidaceae,35.2,37.5,20.19,37.54,C,1,20120127,35.2,37.5
T01,24,guajara branco,Pouteria sp.,Sapotaceae,59.3,57.5,10.17,24.67,C,1,20120127,59.3,57.5
T01,25,macucu,Licania guianensis,Chrysobalanaceae,11,12.5,6.72,11.57,S,2,20120127,11.2,12.5
T01,27,abiurana,Pouteria gongrijpii,Sapotaceae,52,52.5,18.97,36.95,C,2,20120127,53.2,52.5
T01,28,guajara branco,Pouteria sp.,Sapotaceae,52.2,52.5,24.58,33.93,C,1,20120127,52.4,52.5
T01,29,morta,NA,NA,40.2,42.5,NA,6.3,NA,NA,20120127,40.2,42.5
T01,33,ucurana,Sloanea guianensis,Elaeocarpaceae,40.6,42.5,17.53,26.17,C,2,20120127,40.8,42.5
T01,36,cajuacu,Anacardium spruceanum,Anacardiaceae,36.1,37.5,16.38,29.42,C,1,20120127,38.8,37.5
T01,37,macaranduba,Manilkara huberi,Sapotaceae,10.3,12.5,13.37,15.97,S,3,20120127,10.4,12.5
T01,38,matamata,Eschweilera amazonica,Lecythidaceae,27,27.5,17.45,22.52,S,2,20120127,27.9,27.5
T01,41,caramuxi,Pouteria hispida,Sapotaceae,46,47.5,20.35,31.98,C,2,20120127,46.5,47.5
T01,42,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,17.5,17.24,22.02,S,1,20120127,17.5,17.5
T01,43,morta,NA,NA,19.1,17.5,NA,18.4,NA,NA,20120127,#N/A,#N/A
T01,45,sucupira,Diplotropis sp.,Fabaceae,17,17.5,2.52,7.85,S,1,20120127,16.6,17.5
T01,46,jatereu,Lecythis idatimon,Lecythidaceae,10,12.5,6.97,9.03,S,1,20120127,10.4,12.5
T01,47,matamata,Eschweilera parviflora,Lecythidaceae,43.5,42.5,22.08,34.35,C,1,20120127,44.8,42.5
T01,48,abiurana,Pouteria gongrijpii,Sapotaceae,38.5,37.5,22.27,29.33,C,2,20120127,39.1,37.5
T01,52,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,17.5,11.67,17.81,S,3,20120127,14.3,12.5
T01,53,matamata,Eschweilera amazonica,Lecythidaceae,46,47.5,29.3,34.83,E,1,20120127,47,47.5
T01,54,matamata,Eschweilera amazonica,Lecythidaceae,36.5,37.5,19.43,28.6,S,1,20120127,36.9,37.5
T01,59,matamata,Eschweilera amazonica,Lecythidaceae,22,22.5,11.02,19.12,S,2,20120127,22.4,22.5
T01,61,jatereu,Lecythis idatimon,Lecythidaceae,13,12.5,9.44,15.63,S,3,20120127,13,12.5
T01,63,guajara branco,Pouteria sp.,Sapotaceae,70,72.5,30.63,50.97,E,1,20120127,71.6,72.5
T01,65,capueiro,Rinorea guianensis,Violaceae,10.6,12.5,9.04,15.24,S,1,20120127,11,12.5
T01,66,cajuacu,Anacardium spruceanum,Anacardiaceae,18.6,17.5,11.61,18.21,S,2,20120127,18.8,17.5
T01,68,abiurana,Pouteria gongrijpii,Sapotaceae,24.2,22.5,14.18,19.46,S,3,20120127,24.5,22.5
T01,70,inga,Inga marginata,Fabaceae,17,17.5,16.27,21.32,S,2,20120127,17,17.5
T01,73,matamata,Eschweilera parviflora,Lecythidaceae,33.1,32.5,13.08,27.87,S,2,20120127,33.9,32.5
T01,74,sucupira,Diplotropis sp.,Fabaceae,40.9,42.5,21.18,30.19,E,2,20120127,41.8,42.5
T01,77,morta,NA,NA,20.2,22.5,NA,10.7,NA,NA,20120127,20.2,22.5
T01,78,inhare,Helicostylis sp.,Moraceae,36.4,37.5,18.62,25.25,S,2,20120127,37.1,37.5
T01,80,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,44,42.5,2.58,4.05,S,2,20120127,14,12.5
T01,82,breu vermelho,Protium hebetatum,Burseraceae,26.8,27.5,21.84,28.77,C,2,20120127,27.5,27.5
T01,84,caramuxi,Pouteria hispida,Sapotaceae,46.6,47.5,16.36,25.24,C,2,20120127,47,47.5
T01,89,morta,NA,NA,35.6,37.5,NA,5.61,NA,NA,20120127,35.6,37.5
T01,90,acariquara,Minquartia guianensis,Olacaceae,10,12.5,8.04,10.34,S,3,20120127,10,12.5
T01,92,jatereu,Lecythis idatimon,Lecythidaceae,42,42.5,19.95,32.47,E,1,20120127,42,42.5
T01,94,casca seca,Licania canescens,Chrysobalanaceae,33.1,32.5,13.7,26.45,C,1,20120127,33.3,32.5
T01,95,matamata,Eschweilera parviflora,Lecythidaceae,12,12.5,7.24,8.99,S,1,20120127,12.2,12.5
T01,96,jatereu,Lecythis idatimon,Lecythidaceae,11.7,12.5,15.67,19.39,S,1,20120127,11.8,12.5
T01,98,abiu cutite,NA,NA,17.9,17.5,16.95,21.82,C,2,20120127,18.2,17.5
T01,105,macucu,Licania guianensis,Chrysobalanaceae,26.4,27.5,19.79,32.05,S,2,20120127,27.4,27.5
T01,106,caqui,Diospyros guianensis,Ebenaceae,11.6,12.5,9.2,20.21,S,1,20120127,13.7,12.5
T01,107,pintadinho,Poeppigia procera,Fabaceae,20.6,22.5,15.04,21.1,S,2,20120127,20.9,22.5
T01,108,matamata,Eschweilera amazonica,Lecythidaceae,36.5,37.5,12.37,17.99,S,2,20120127,37.5,37.5
T01,109,breu manga,Tetragastris altissima,Burseraceae,53,52.5,21.02,27.67,E,1,20120127,54.6,52.5
T01,110,sucupira,Diplotropis sp.,Fabaceae,41.2,42.5,25.88,35.53,E,1,20120127,42.6,42.5
T01,113,seringarana,Micrandra minor,Euphorbiaceae,46.9,47.5,26.22,35.57,C,1,20120127,47.8,47.5
T01,115,matamata,Eschweilera amazonica,Lecythidaceae,28.1,27.5,15.94,27.44,S,2,20120127,23.9,22.5
T01,116,pintadinho,Poeppigia procera,Fabaceae,39.1,37.5,18.02,25.88,S,2,20120127,39.9,37.5
T01,117,tanibuca,Terminalia amazonia,Combretaceae,35.4,37.5,12.66,18.18,S,2,20120127,35.4,37.5
T01,118,macucu,Licania guianensis,Chrysobalanaceae,10.9,12.5,10.47,15.11,S,2,20120127,11.4,12.5
T01,119,tachi preto,Tachigali myrmecophila,Fabaceae,60,62.5,36.15,52.5,E,1,20120127,83,82.5
T01,120,parajuba,Manilkara bidentata,Sapotaceae,52.8,52.5,16,24.43,C,2,20120127,53.7,52.5
T01,123,timborana,Pseudopiptadenia suaveolens,Fabaceae,48.4,47.5,10.41,17.87,C,1,20120127,48.6,47.5
T01,126,uxirana,Sacoglottis guianensis,Humiriaceae,27.8,27.5,12.36,19.61,C,1,20120127,27.8,27.5
