Atividade,Talhao,AreaTrab,DataInicio,DataFim,HM,Diarias, D/AT , HM/AT ,,,,,,,,,,,,,,
Ripagem,015-07,26.73,18-05-07,26-05-07,59,0, -   , 2.21 ,,,,,,,,,,,,,,
Ripagem,020-07,20.57,27-05-07,31-05-07,44,0, -   , 2.14 ,,,,,,,,,,,,,,
Ripagem,019-07,39.40,01-06-07,09-06-07,68,0, -   , 1.73 ,,,,,,,,,,,,,,
Ripagem,018-07,28.00,09-06-07,13-06-07,41,0, -   , 1.46 ,,,,,,,,,,,,,,
Ripagem,013-07,31.00,16-06-07,22-06-07,61,0, -   , 1.97 ,,,,,,,,,,,,,,
Ripagem,014-07,23.65,13-06-07,24-06-07,46,0, -   , 1.95 ,,,,,,,,,,,,,,
Ripagem,027-07,43.44,25-06-07,10-07-07,110,0, -   , 2.53 ,,,,,,,,,,,,,,
Ripagem,029-07,45.78,10-07-07,27-07-07,96,0, -   , 2.10 ,,,,,,,,,,,,,,
Ripagem,032-07,33.41,01-08-07,06-08-07,63,0, -   , 1.89 ,,,,,,,,,,,,,,
Ripagem,031-07,44.15,28-07-07,15-08-07,87,0, -   , 1.97 ,,,,,,,,,,,,,,
Ripagem,030-07,22.77,16-08-07,19-08-07,46,0, -   , 2.02 ,,,,,,,,,,,,,,
Ripagem,011-07,38.74,24-08-07,04-09-07,76,0, -   , 1.96 ,,,,,,,,,,,,,,
Ripagem,024-07,41.85,22-10-07,30-10-07,83,0, -   , 1.98 ,,,,,,,,,,,,,,
Ripagem,023-07,27.86,30-10-07,03-11-07,53,0, -   , 1.90 ,,,,,,,,,,,,,,
Ripagem,026-07,40.80,20-08-07,12-11-07,79,0, -   , 1.94 ,,,,,,,,,,,,,,
Ripagem,021-07,36.80,10-11-07,15-11-07,72,0, -   , 1.96 ,,,,,,,,,,,,,,
Ripagem,022-07,34.48,15-11-07,18-11-07,68,0, -   , 1.97 ,,,,,,,,,,,,,,
Ripagem,025-07,37.03,18-11-07,21-11-07,73,0, -   , 1.97 ,,,,,,,,,,,,,,
Ripagem,012-08  ,49.31,02-06-08,07-06-08,124,0, -   , 2.51 ,,,,,,,,,,,,,,
Ripagem,009-08   ,36.54,07-06-08,12-06-08,81,0, -   , 2.22 ,,,,,,,,,,,,,,
Ripagem,006-08   ,35.41,12-06-08,16-06-08,77,0, -   , 2.17 ,,,,,,,,,,,,,,
Ripagem,007-08 ,18.00,17-06-08,19-06-08,38,0, -   , 2.11 ,,,,,,,,,,,,,,
Ripagem,008-08   ,19.50,19-06-08,21-06-08,41,0, -   , 2.10 ,,,,,,,,,,,,,,
Ripagem,014-08   ,47.55,01-07-08,07-07-08,108,0, -   , 2.27 ,,,,,,,,,,,,,,
Ripagem,018-08  ,34.49,07-07-08,11-07-08,75,0, -   , 2.17 ,,,,,,,,,,,,,,
Ripagem,019-08   ,57.50,09-10-08,25-10-08,123,0, -   , 2.14 ,,,,,,,,,,,,,,
Ripagem,017-08   ,28.73,27-10-08,31-10-08,60,0, -   , 2.09 ,,,,,,,,,,,,,,
Ripagem,022-08   ,38.04,05-11-08,10-11-08,69,0, -   , 1.81 ,,,,,,,,,,,,,,
Ripagem,028-08 ,35.13,11-11-08,17-11-08,69,0, -   , 1.96 ,,,,,,,,,,,,,,
Ripagem,027-08   ,45.16,18-11-08,23-11-08,79,0, -   , 1.75 ,,,,,,,,,,,,,,
Ripagem,026-08   ,65.46,26-11-08,30-11-08,112,0, -   , 1.71 ,,,,,,,,,,,,,,
Ripagem,029-08   ,44.62,01-12-08,07-12-08,119,0, -   , 2.67 ,,,,,,,,,,,,,,
Ripagem,002-09   ,38.25,07-12-08,12-12-08,96,0, -   , 2.51 ,,,,,,,,,,,,,,
Ripagem,001-09,40.86,13-12-08,20-12-08,82,0, -   , 2.01 ,,,,,,,,,,,,,,
Ripagem,030-08   ,34.70,02-01-09,02-01-09,73,0, -   , 2.10 ,,,,,,,,,,,,,,
Ripagem,004-09 ,35.75,04-05-09,12-05-09,70,0, -   , 1.96 ,,,,,,,,,,,,,,
Ripagem,013-09   ,25.71,13-05-09,21-05-09,53,0, -   , 2.06 ,,,,,,,,,,,,,,
Ripagem,010-09 ,27.73,26-05-09,30-05-09,53,0, -   , 1.91 ,,,,,,,,,,,,,,
Ripagem,019-09,31.38,11-11-09,21-11-09,76,0, -   , 2.42 ,,,,,,,,,,,,,,
