Irrigacao,IrrigacaoInt,MesPoda,Bloco,Brotos
100,Excesso,2,A,22
100,Excesso,2,B,25
100,Excesso,2,C,26
100,Excesso,2,D,29
100,Excesso,2,E,28
75,Alta,2,A,22
75,Alta,2,B,23
75,Alta,2,C,25
75,Alta,2,D,25
75,Alta,2,E,21
50,Media,2,A,25
50,Media,2,B,24
50,Media,2,C,24
50,Media,2,D,21
50,Media,2,E,23
25,Baixa,2,A,25
25,Baixa,2,B,32
25,Baixa,2,C,25
25,Baixa,2,D,23
25,Baixa,2,E,25
0,Ausencia,2,A,29
0,Ausencia,2,B,23
0,Ausencia,2,C,28
0,Ausencia,2,D,37
0,Ausencia,2,E,26
100,Excesso,5,A,38
100,Excesso,5,B,40
100,Excesso,5,C,40
100,Excesso,5,D,40
100,Excesso,5,E,38
75,Alta,5,A,35
75,Alta,5,B,40
75,Alta,5,C,44
75,Alta,5,D,39
75,Alta,5,E,37
50,Media,5,A,37
50,Media,5,B,35
50,Media,5,C,37
50,Media,5,D,41
50,Media,5,E,34
25,Baixa,5,A,40
25,Baixa,5,B,35
25,Baixa,5,C,34
25,Baixa,5,D,40
25,Baixa,5,E,32
0,Ausencia,5,A,37
0,Ausencia,5,B,40
0,Ausencia,5,C,37
0,Ausencia,5,D,32
0,Ausencia,5,E,37
100,Excesso,7,A,44
100,Excesso,7,B,47
100,Excesso,7,C,47
100,Excesso,7,D,46
100,Excesso,7,E,46
75,Alta,7,A,43
75,Alta,7,B,47
75,Alta,7,C,50
75,Alta,7,D,44
75,Alta,7,E,44
50,Media,7,A,41
50,Media,7,B,41
50,Media,7,C,46
50,Media,7,D,47
50,Media,7,E,46
25,Baixa,7,A,44
25,Baixa,7,B,41
25,Baixa,7,C,41
25,Baixa,7,D,47
25,Baixa,7,E,40
0,Ausencia,7,A,41
0,Ausencia,7,B,43
0,Ausencia,7,C,40
0,Ausencia,7,D,38
0,Ausencia,7,E,40
