combate,especie,bloco,peso
100,2,1,21.6
100,2,2,23.6
100,2,3,27.6
100,2,4,22.3
100,2,5,24.1
100,2,6,19.9
100,2,7,22.7
100,2,9,23.3
100,2,10,22.6
50,2,1,22.5
50,2,2,22.8
50,2,3,21.8
50,2,4,25.8
50,2,5,21.8
50,2,6,24
50,2,7,19.2
50,2,8,20.3
50,2,9,21
50,2,10,21
0,2,1,30
0,2,2,25.8
0,2,3,27.8
0,2,4,26.1
0,2,5,28.9
0,2,6,34.1
0,2,7,23.9
0,2,8,29.5
0,2,9,21.4
0,2,10,30.5
100,5,1,36
100,5,2,40.5
100,5,3,37.5
100,5,4,33
100,5,5,38.3
100,5,6,37.5
100,5,7,37.5
100,5,8,39
100,5,9,36
100,5,10,40.5
50,5,1,32.8
50,5,2,35.7
50,5,3,32.4
50,5,4,37.5
50,5,5,35.9
50,5,6,34.2
50,5,7,40.5
50,5,8,33.2
50,5,9,27.5
50,5,10,32.9
0,5,1,34.5
0,5,2,33
0,5,3,37.5
0,5,4,37.5
0,5,5,34.5
0,5,6,28.5
0,5,7,30
0,5,8,34.5
0,5,9,34.5
0,5,10,46.5
