Nome;Origem;MesFlorescimento;Fases
Abies alba Mill.;nativa;2;0
Acer campestre L.;nativa;2;0
Acer monspessulanum L.;nativa;2;0
Acer opalus Mill.;nativa;2;0
Acer platanoides L.;nativa;2;0
Acer pseudoplatanus L.;nativa;1;0
Aceras anthropophorum (L.) W. T. Aiton;nativa;2;0
Achillea atrata L.;nativa;3;0
Achillea clavennae L.;nativa;3;0
Achillea collina Becker ex Rchb.;nativa;6;0
Achillea macrophylla L.;nativa;3;0
Achillea millefolium L.;nativa;5;0
Achillea nobilis L.;nativa;5;0
Achillea pannonica Scheele;nativa;3;0
Achillea pratensis Saukel & R. LÑnger;nativa;7;0
Achillea ptarmica L.;nativa;3;0
Achillea salicifolia Besser;nativa;3;0
Achillea setacea Waldst. & Kit.;nativa;2;0
Achnatherum calamagrostis (L.) P. Beauv.;nativa;4;0
Acinos alpinus (L.) Moench;nativa;3;0
Acinos arvensis (Lam.) Dandy;nativa;4;0
Aconitum degenii (Arcang.) Mucher;nativa;3;0
Aconitum lycoctonum (Rchb. ex Spreng.) Nyman;nativa;3;0
Aconitum napellus L.;nativa;3;0
Aconitum pilipes (Rchb.) G†yer;nativa;3;0
Aconitum plicatum Kîhler ex Rchb.;nativa;3;0
Aconitum tauricum Wulfen;nativa;3;0
Aconitum variegatum L.;nativa;3;0
Actaea spicata L.;nativa;2;0
Adenophora liliifolia (L.) DC.;nativa;3;0
Adenostyles alliariae (Gouan) A. Kern.;nativa;2;0
Adenostyles glabra (Mill.) DC.;nativa;2;0
Adonis vernalis L.;nativa;2;0
Adoxa moschatellina L.;nativa;3;0
Aegopodium podagraria L.;nativa;2;0
Aethionema saxatile (L.) R. Br.;nativa;3;0
Agrimonia eupatoria L.;nativa;4;0
Agrimonia procera Wallr.;nativa;3;0
Agrostis agrostiflora (Beck) Rauschert;nativa;2;0
Agrostis alpina Scop.;nativa;3;0
Agrostis canina L.;nativa;3;0
Agrostis capillaris L.;nativa;2;0
Agrostis gigantea Roth;nativa;2;0
Agrostis rupestris All.;nativa;2;0
Agrostis schleicheri Jord. & Verl.;nativa;3;0
Agrostis stolonifera L.;nativa;2;0
Agrostis vinealis Schreb.;nativa;4;0
Aira caryophyllea L. s. str.;nativa;2;0
Aira praecox L.;nativa;2;0
Ajuga genevensis L.;nativa;3;0
Ajuga pyramidalis L.;nativa;4;0
Ajuga reptans L.;nativa;4;0
Alchemilla alpigena Buser;nativa;5;0
Alchemilla alpina L.;nativa;5;0
Alchemilla cleistophylla Rothm. & O. Schwarz;nativa;5;0
Alchemilla colorata Buser;nativa;5;0
Alchemilla connivens Buser;nativa;5;0
Alchemilla coriacea Buser;nativa;5;0
Alchemilla crinita Buser;nativa;6;0
Alchemilla cymatophylla Juz.;nativa;6;0
Alchemilla decumbens Buser;nativa;5;0
Alchemilla effusa Buser;nativa;6;0
Alchemilla exigua Buser ex Paulin;nativa;5;0
Alchemilla fallax Buser;nativa;5;0
Alchemilla filicaulis Buser;nativa;6;0
Alchemilla fissa GÅnther & Schummel;nativa;5;0
Alchemilla flabellata Buser;nativa;5;0
Alchemilla glabra Neygenf.;nativa;6;0
Alchemilla glaucescens Wallr.;nativa;6;0
Alchemilla glomerulans Buser;nativa;5;0
Alchemilla hoppeana (Rchb.) Dalla Torre;nativa;5;0
Alchemilla impexa Buser;nativa;5;0
Alchemilla incisa Buser;nativa;5;0
Alchemilla lineata Buser;nativa;5;0
Alchemilla lunaria S. E. Frîhner;nativa;5;0
Alchemilla micans Buser;nativa;6;0
Alchemilla monticola Opiz;nativa;6;0
Alchemilla obtusa Buser;nativa;5;0
Alchemilla othmarii Buser;nativa;3;0
Alchemilla pallens Buser;nativa;5;0
Alchemilla plicata Buser;nativa;6;0
Alchemilla propinqua H. Lindb. ex Juz.;nativa;6;0
Alchemilla reniformis Buser;nativa;6;0
Alchemilla rubristipula Buser;nativa;5;0
Alchemilla straminea Buser;nativa;5;0
Alchemilla strigosula Buser;nativa;6;0
Alchemilla subcrenata Buser;nativa;6;0
Alchemilla subglobosa C. G. Westerl.;nativa;6;0
Alchemilla tenuis Buser;nativa;6;0
Alchemilla tirolensis Buser ex Dalla Torre & Sarnth.;nativa;5;0
Alchemilla undulata Buser;nativa;5;0
Alchemilla versipila Buser;nativa;5;0
Alchemilla vulgaris L.;nativa;3;0
Alchemilla xanthochlora Rothm.;nativa;6;0
Aldrovanda vesiculosa L.;nativa;2;0
Alisma gramineum Lej.;nativa;2;0
Alisma lanceolatum With.;nativa;2;0
Alisma plantago-aquatica L. s. str.;nativa;2;0
Alliaria petiolata (M. Bieb.) Cavara & Grande;nativa;3;0
Allium angulosum L.;nativa;2;0
Allium carinatum L. s. str.;nativa;2;0
Allium cirrhosum Vand.;nativa;2;0
Allium kochii Lange;nativa;3;0
Allium lusitanicum Lam. excl. syn. Tournef.;nativa;2;0
Allium oleraceum L.;nativa;2;0
Allium rotundum L.;nativa;3;0
Allium schoenoprasum L.;nativa;3;0
Allium scorodoprasum L. s. str.;nativa;2;0
Allium sphaerocephalon L.;nativa;2;0
Allium strictum Schrad.;nativa;3;0
Allium suaveolens Jacq.;nativa;3;0
Allium ursinum L.;nativa;2;0
Allium victorialis L.;nativa;2;0
Allium vineale L. s. str.;nativa;3;0
Alnus alnobetula (Ehrh.) K. Koch;nativa;3;0
Alnus glutinosa (L.) Gaertn.;nativa;2;0
Alnus incana (L.) Moench;nativa;3;0
Alopecurus aequalis Sobol.;nativa;6;0
Alopecurus arundinaceus Poir.;nativa;2;0
Alopecurus bulbosus Gouan;nativa;3;0
Alopecurus geniculatus L.;nativa;6;0
Alopecurus pratensis L.;nativa;2;0
Alopecurus rendlei Eig;nativa;2;0
Althaea officinalis L.;nativa;3;0
Alyssum alyssoides (L.) L.;nativa;6;0
Alyssum montanum L.;nativa;3;0
Amelanchier ovalis Medik.;nativa;2;0
Ammophila arenaria (L.) Link;nativa;2;0
