Serrapilheira,Braquiaria,BraqTotal,Abertura
254,1089.23,1704.47,43.24
800.2,25.6,724.72,5.41
171.3,626.53,1506.39,17.57
444.2,317.74,1080.51,4.73
34.79,355.12,1209.32,74.32
399.41,0,1102.27,6.76
590.4,31.5,119.60,6.08
52.53,312.55,617.76,20.95
165.51,59.15,397.44,0.68
300.98,263.31,390.33,16.22
848.82,109.11,200.31,0.68
1045.54,398.32,398.32,1.35
0,1174.84,1839.74,60.14
0,450.9,1419.10,4.05
476.35,27.8,1041.00,0
542.14,0,928.31,0.68
453.3,258.78,423.73,5.41
492.24,164.63,1096.33,3.38
60.47,100.7,408.80,18.92
426.58,37.74,124.79,2.03
0,1477.15,2012.28,94.59
1128.3,0,149.05,1.35
39.9,125.5,709.22,0
892.7,54.5,312.89,2.03
612.85,87.83,156.63,10.14
87.5,386.54,892.94,5.41
771.86,86.2,164.70,3.38
0,0,0.00,1.35
60.4,198.9,336.59,1.35
745.18,30.05,106.41,1.35
354.84,118.2,545.90,2.03
1105.84,62.63,62.63,1.35
817.85,0,0.00,2.03
322.68,355.01,355.01,0.68
323.81,238.04,872.44,30.41
65,336.96,848.96,36.49
279.4,158.61,856.11,10.14
131.1,220.76,711.06,44.59
45.67,343.52,981.52,39.86
137.1,180.81,849.11,10.81
321.3,37.8,37.80,8.11
616.31,83.3,227.50,6.76
524.18,78.19,383.98,60.14
682.39,48.6,372.93,29.05
266.21,163.2,717.82,32.43
555.12,272.1,874.57,15.54
