parcela,arvore,comum,cientifico,familia,dap2012,vertical,luminosidade,hcom,ht,medicao
T01,6,cajuacu,Anacardium spruceanum,Anacardiaceae,78.8,E,1,21.06,31.65,20120127
T01,15,parajuba,Manilkara bidentata,Sapotaceae,38.4,C,2,31.19,32.29,20120127
T01,16,guajara branco,Pouteria sp.,Sapotaceae,48.5,C,2,20.84,31.1,20120127
T01,17,seringueira,Hevea brasiliensis,Euphorbiaceae,50.3,E,1,24.5,33.43,20120127
T01,18,guajara branco,Pouteria sp.,Sapotaceae,41.9,C,2,18.7,28.84,20120127
T01,23,jatereu,Lecythis idatimon,Lecythidaceae,35.2,C,1,20.19,37.54,20120127
T01,24,guajara branco,Pouteria sp.,Sapotaceae,59.3,C,1,10.17,24.67,20120127
T01,27,abiurana,Pouteria gongrijpii,Sapotaceae,52,C,2,18.97,36.95,20120127
T01,28,guajara branco,Pouteria sp.,Sapotaceae,52.2,C,1,24.58,33.93,20120127
T01,29,morta,NA,NA,40.2,NA,NA,NA,6.3,20120127
T01,33,ucurana,Sloanea guianensis,Elaeocarpaceae,40.6,C,2,17.53,26.17,20120127
T01,36,cajuacu,Anacardium spruceanum,Anacardiaceae,36.1,C,1,16.38,29.42,20120127
T01,41,caramuxi,Pouteria hispida,Sapotaceae,46,C,2,20.35,31.98,20120127
T01,47,matamata,Eschweilera parviflora,Lecythidaceae,43.5,C,1,22.08,34.35,20120127
T01,48,abiurana,Pouteria gongrijpii,Sapotaceae,38.5,C,2,22.27,29.33,20120127
T01,53,matamata,Eschweilera amazonica,Lecythidaceae,46,E,1,29.3,34.83,20120127
T01,54,matamata,Eschweilera amazonica,Lecythidaceae,36.5,S,1,19.43,28.6,20120127
T01,63,guajara branco,Pouteria sp.,Sapotaceae,70,E,1,30.63,50.97,20120127
T01,74,sucupira,Diplotropis sp.,Fabaceae,40.9,E,2,21.18,30.19,20120127
T01,78,inhare,Helicostylis sp.,Moraceae,36.4,S,2,18.62,25.25,20120127
T01,80,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,44,S,2,2.58,4.05,20120127
T01,84,caramuxi,Pouteria hispida,Sapotaceae,46.6,C,2,16.36,25.24,20120127
T01,89,morta,NA,NA,35.6,NA,NA,NA,5.61,20120127
T01,92,jatereu,Lecythis idatimon,Lecythidaceae,42,E,1,19.95,32.47,20120127
T01,108,matamata,Eschweilera amazonica,Lecythidaceae,36.5,S,2,12.37,17.99,20120127
T01,109,breu manga,Tetragastris altissima,Burseraceae,53,E,1,21.02,27.67,20120127
T01,110,sucupira,Diplotropis sp.,Fabaceae,41.2,E,1,25.88,35.53,20120127
T01,113,seringarana,Micrandra minor,Euphorbiaceae,46.9,C,1,26.22,35.57,20120127
T01,116,pintadinho,Poeppigia procera,Fabaceae,39.1,S,2,18.02,25.88,20120127
T01,117,tanibuca,Terminalia amazonia,Combretaceae,35.4,S,2,12.66,18.18,20120127
T01,119,tachi preto,Tachigali myrmecophila,Fabaceae,60,E,1,36.15,52.5,20120127
T01,120,parajuba,Manilkara bidentata,Sapotaceae,52.8,C,2,16,24.43,20120127
T01,123,timborana,Pseudopiptadenia suaveolens,Fabaceae,48.4,C,1,10.41,17.87,20120127
T01,129,jutai,Hymenaea parvifolia,Fabaceae,59.6,E,1,21.08,32.62,20120127
T01,136,parajuba,Manilkara bidentata,Sapotaceae,36.6,C,2,9.17,14.62,20120127
T01,138,morta,NA,NA,36.6,NA,NA,NA,2.51,20120127
T01,142,jatereu,Lecythis idatimon,Lecythidaceae,36.3,C,2,13.53,26.12,20120127
T01,145,guajara branco,Pouteria sp.,Sapotaceae,53.2,E,1,20.28,30.71,20120127
T01,150,morta,NA,NA,71.2,NA,NA,NA,9.42,20120127
T01,152,tauari,Couratari stellata,Lecythidaceae,40,C,1,23.32,29.83,20120127
T01,153,tatapiririca,Tapirira guianensis,Anacardiaceae,35.4,S,2,23.63,30.6,20120127
T01,154,matamata,Eschweilera amazonica,Lecythidaceae,38,C,1,17.19,28.91,20120127
T01,156,copaiba,Copaifera reticulata,Fabaceae,50.6,E,1,27.61,38,20120127
T01,157,timborana,Pseudopiptadenia suaveolens,Fabaceae,50,E,1,26.35,45.89,20120127
T01,159,axixa,Sterculia pruriens,Malvaceae,55,E,1,26.06,34.79,20120127
T01,160,matamata branco,Eschweilera coriacea,Lecythidaceae,56,C,1,19.9,32.65,20120127
T01,161,parajuba,Manilkara bidentata,Sapotaceae,39,E,1,15.89,27.95,20120127
T01,162,breu barrote,Tetragastris panamensis,Burseraceae,41,S,2,17.42,30.84,20120127
T01,163,timborana,Pseudopiptadenia suaveolens,Fabaceae,40,E,1,28.26,39.02,20120127
T01,164,abiurana,Pouteria gongrijpii,Sapotaceae,49.6,E,1,19.03,31.46,20120127
T01,165,matamata preto,Eschweilera ovata,Lecythidaceae,44.5,E,1,17.22,24.42,20120127
T01,167,tauari,Couratari stellata,Lecythidaceae,50,E,1,26.53,37.42,20120127
T01,168,matamata,Eschweilera parviflora,Lecythidaceae,55,C,1,19.2,28.16,20120127
T01,169,uxirana,Sacoglottis guianensis,Humiriaceae,42.7,C,1,23.65,36.1,20120127
T01,170,seringarana,Micrandra minor,Euphorbiaceae,38,C,2,23.16,31.97,20120127
T01,171,matamata preto,Eschweilera ovata,Lecythidaceae,35.5,C,2,19.01,26.08,20120127
T01,172,louro preto,Nectandra cuspidata,Lauraceae,49.8,C,1,22.11,37.04,20120127
T01,173,sucupira tento,Ormosia nobilis,Fabaceae,52.1,C,1,19.53,31.48,20120127
T01,175,inhare,Helicostylis sp.,Moraceae,35.3,C,1,13.26,19.2,20120127
T01,176,matamata preto,Eschweilera ovata,Lecythidaceae,35.3,C,1,9.93,18.11,20120127
T01,178,abiurana,Pouteria gongrijpii,Sapotaceae,48.5,C,1,15.04,26.54,20120127
T01,179,casca seca,Licania canescens,Chrysobalanaceae,46.4,E,1,13.95,20.39,20120127
T01,180,cajuacu,Anacardium spruceanum,Anacardiaceae,93.9,E,1,30.83,42.56,20120127
T01,181,parajuba,Manilkara bidentata,Sapotaceae,37,C,2,15.09,23.73,20120127
T01,182,tachi preto,Tachigali myrmecophila,Fabaceae,50.5,E,1,26.23,37.25,20120127
T01,183,louro preto,Nectandra cuspidata,Lauraceae,41.3,S,2,14.75,24.36,20120127
T01,184,matamata branco,Eschweilera coriacea,Lecythidaceae,39.1,C,1,18.51,28.87,20120127
T01,185,muirapiranga,Brosimum rubescens,Moraceae,56,E,1,24.8,37.88,20120127
T01,186,matamata vermelho,Eschweilera coriacea,Lecythidaceae,43.5,C,2,22.66,30.86,20120127
T01,187,matamata branco,Eschweilera coriacea,Lecythidaceae,36.8,C,2,24.16,41.8,20120127
T01,188,jatereu,Lecythis idatimon,Lecythidaceae,54,C,2,25.23,46.18,20120127
T02,2,casca seca,Licania canescens,Chrysobalanaceae,72.5,C,1,19.63,33.58,20120209
T02,17,breu branco,Protium paniculatum,Burseraceae,44.5,S,2,10.18,18.86,20120209
T02,18,tento,Ormosia grossa,Fabaceae,50,S,1,20.71,34.88,20120209
T02,20,guajara branco,Pouteria sp.,Sapotaceae,55.4,C,1,20.91,36.12,20120209
T02,22,casca seca,Licania canescens,Chrysobalanaceae,37.9,C,2,20.21,35.23,20120209
T02,23,muirapiranga,Brosimum rubescens,Moraceae,74.5,C,1,28.64,43.72,20120209
T02,24,abiurana,Pouteria gongrijpii,Sapotaceae,55.3,C,1,13.26,25.51,20120209
T02,29,piquia,Caryocar villosum,Caryocaraceae,88,E,1,22.01,35.15,20120209
T02,33,mapatirana,Pourouma villosa,Urticaceae,58.2,E,1,13.39,27.06,20120209
T02,35,abiurana,Pouteria gongrijpii,Sapotaceae,40.8,C,1,20.7,31.01,20120209
T02,41,coco-pau,Couepia robusta,Chrysobalanaceae,43.4,C,1,26.53,35.38,20120209
T02,42,matamata,Eschweilera amazonica,Lecythidaceae,35,C,1,16.82,30.76,20120209
T02,47,fava,Parkia sp.,Fabaceae,40.8,S,1,12.56,22.84,20120209
T02,51,morta,NA,NA,58.9,NA,NA,NA,5.27,20120209
T02,52,parajuba,Manilkara bidentata,Sapotaceae,39.8,S,2,19.95,28.26,20120209
T02,55,amapa amargoso,Brosimum guianense,Moraceae,48.6,E,1,20.24,30.26,20120209
T02,66,abiu cutite,NA,NA,42,C,1,14.22,21.94,20120209
T02,75,breu branco,Protium paniculatum,Burseraceae,54.3,S,1,23.59,35.56,20120209
T02,77,macucu,Licania guianensis,Chrysobalanaceae,36.7,C,1,6.48,11.14,20120209
T02,79,abiu cutite,NA,NA,47.2,S,2,14.51,21.53,20120209
T02,84,fava-core,Parkia nitida,Fabaceae,88.3,E,1,12.43,23.56,20120209
T02,87,abiurana,Pouteria gongrijpii,Sapotaceae,46,C,1,20.4,30.42,20120209
T02,90,coquirana,Chrysophyllum sanguinolentum,Sapotaceae,42,C,1,21.12,31.48,20120209
T02,92,casca seca,Licania canescens,Chrysobalanaceae,36.8,C,2,22.14,39.35,20120209
T02,94,guajara branco,Pouteria sp.,Sapotaceae,50.2,S,2,13.32,19.84,20120209
T02,98,cupiuba,Goupia glabra,Goupiaceae,63.8,E,1,16.61,24.42,20120209
T02,102,sucupira,Diplotropis sp.,Fabaceae,51.4,E,1,25.18,30.97,20120209
T02,110,abiu cutite,NA,NA,58.7,E,1,18.14,27.99,20120209
